dataset,oof_auc,valid_auc,test_auc,oof_rmse,valid_rmse,test_rmse
tox21,0.778533892242549,0.766665652782439,0.7524854371675,,,
bbbp,0.9091516881380339,0.9881599378881987,0.755467771461605,,,
clintox,0.9255675922065886,0.9871195256646261,0.9953159211761027,,,
esol,,,,1.2740197722849178,1.187291540843536,1.1999249311782514
lipophilicity,,,,0.7268157561423301,0.7442570956576232,0.7527966369150559
