dataset,tag,valid_auc,test_auc,params,trainable,best_epoch,valid_rmse,test_rmse
tox21,desc,0.8688806921147987,0.846583414531468,452620,452620,3,,
bbbp,desc,0.9394904458598726,0.9499707858603563,448769,448769,2,,
clintox,desc,0.7895612778425278,0.6932139116447836,449026,449026,2,,
esol,desc,,,444929,444929,8,0.7518834571273526,0.9173063100779636
lipophilicity,desc,,,448257,448257,26,0.6887860443980751,0.6713712653161995
bace,desc,0.9488413547237076,0.7795670995670996,444417,444417,3,,
sider,desc,0.6152902586897958,0.6175370469612252,455963,455963,4,,
freesolv,desc,,,441345,441345,20,0.8289301159111772,0.8634396869528957
