dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,chemprop,gin_ref_gpu,5,0.8216486836165643,0.01661933400779612,0.8110197984196951,0.03766383801762643,0.010628885196869243,0.022827337087396368,4,0.3125,0.26577239306358047,0.5780520208929354,inside noise,False,0.7973171791907414,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
bbbp,auc,chemprop,gin_ref_gpu,5,0.8915643421297954,0.0439232313263855,0.8977123794281354,0.04596208475000823,-0.006148037298339992,0.02132739070370436,2,0.625,0.4684048777189417,-0.35787653860474467,inside noise,False,0.9368097554378834,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
clintox,auc,chemprop,gin_ref_gpu,5,0.8642461982684712,0.04355376027750578,0.9018039232803121,0.04973339092662306,-0.03755772501184094,0.04032418186884039,0,0.0625,0.060969226967204984,-1.156293735149549,inside noise,False,0.4877538157376399,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
esol,rmse,chemprop,gin_ref_gpu,5,0.7900953843881526,0.14969004651631493,1.062503791803268,0.3530834266456796,0.2724084074151153,0.3777816478651245,5,0.0625,0.11589129743550801,0.8951877079789679,inside noise,False,0.6736796832029499,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
lipophilicity,rmse,chemprop,gin_ref_gpu,5,0.6405898872837502,0.07661427792383768,0.7518376865744847,0.1445953512290746,0.11124779929073456,0.14007392547898712,5,0.0625,0.09216646762337184,0.9859810962145963,inside noise,False,0.6451652733636029,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
bace,auc,chemprop,gin_ref_gpu,5,0.8403869596119222,0.07643447968367074,0.8224927622329901,0.07295380990224187,0.017894197378932032,0.02581093445042007,4,0.125,0.12660752102148431,0.8606824653280674,inside noise,False,0.6736796832029499,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
sider,auc,chemprop,gin_ref_gpu,5,0.5984184459988915,0.009948382119211835,0.622105180152895,0.0301269610339502,-0.023686734154003262,0.03239971903093772,1,0.125,0.11227994720049164,-0.9076081799801542,inside noise,False,0.6736796832029499,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
freesolv,rmse,chemprop,gin_ref_gpu,5,1.6427392420703097,0.3207809056604213,1.558206015364876,0.6528331987469508,-0.08453322670543369,0.4572796575099785,2,0.8125,0.6348717868548991,-0.22949859148551893,inside noise,False,0.9368097554378834,inside noise,8,4,0.0022404239492646253,1.0,0.84375,0.9453125
