experiment,models,metrics_compared,identical,median_abs_diff,mean_abs_diff,max_abs_diff,single_split_over_threshold,single_split_fraction_over,canonical_over_threshold,canonical_n,canonical_median_x_threshold,canonical_max_x_threshold,seeded_split_over_threshold,seeded_split_n,five_split_mean_over_threshold,five_split_mean_n,five_split_mean_median_x_threshold,five_split_mean_max_x_threshold
device: CPU vs T4,5,240,4,0.016802724075132336,0.03304472325131539,0.4513502543912913,58,0.24166666666666667,7,40,0.3398226947764066,2.1565534018966823,51,200,1,40,0.2551430537390653,1.002672231778784
"seed: 42 vs 43, same CPU",2,96,0,0.015393671169404599,0.028926445719049565,0.28770553980612057,25,0.2604166666666667,7,16,0.7604234487717937,1.92028985507246,18,80,0,16,0.2069306385180053,0.5329687455737975
