dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_xattn,desc,5,0.8145658331471844,0.02957570585809163,0.8281607486970854,0.01821750154264832,-0.01359491554990111,0.035837057612705094,2,0.4375,0.3517104549011287,-0.4709541507264009,inside noise,False,1.0,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
bbbp,auc,fuse_xattn,desc,5,0.894999770861309,0.03199115400960082,0.9070845452879752,0.03347636892871406,-0.012084774426666023,0.017393770025049222,1,0.1875,0.12600391593823512,-0.8625400790223756,inside noise,False,0.7560234956294107,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
clintox,auc,fuse_xattn,desc,5,0.8369341026598788,0.10622892072858131,0.8410613269485883,0.13302724063519028,-0.004127224288709486,0.11466446960078733,2,1.0,0.9252161125405711,-0.04468519565267814,inside noise,False,1.0,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
bace,auc,fuse_xattn,desc,5,0.8574898315197107,0.06990027924024626,0.8483419234271142,0.06777773522169107,0.009147908092596491,0.022369669491904144,3,0.4375,0.3196910494803951,0.5076877503954985,inside noise,False,1.0,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
sider,auc,fuse_xattn,desc,5,0.5916121707107791,0.03726632335352058,0.6404723011043323,0.035499137867078694,-0.04886013039355308,0.029431979358071736,0,0.0625,0.009967291159936218,-2.060960228450294,degrades,False,0.07973832927948975,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
esol,rmse,fuse_xattn,desc,5,0.8499180769428099,0.1047915606342805,0.771875735045334,0.1437133274778174,-0.07804234189747587,0.14739333278490122,2,0.4375,0.21554602162138908,-0.6573352373343994,inside noise,False,1.0,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
lipophilicity,rmse,fuse_xattn,desc,5,0.7144902794444637,0.026987398028522742,0.6768944042195973,0.014159642771877992,-0.037595875224866515,0.030774419654977875,0,0.0625,0.027496287297104488,-1.5166479675397728,degrades,True,0.19247401107973142,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
freesolv,rmse,fuse_xattn,desc,5,0.9419168286633626,0.25162512586376057,0.9703414683452232,0.25427611681111045,0.028424639681860507,0.16989639988612615,3,0.625,0.6664850421322712,0.2077041870946402,inside noise,False,1.0,inside noise,8,2,-0.012839844988283566,0.2890625,0.1484375,0.109375
