tag,dataset,n_splits,task_type,coverage,coverage_pos,coverage_neg,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,n,coverage_gap,mean_width,width_spread
desc,tox21,5,classification,0.8998536044775106,0.7793825188932985,0.9071332497730505,1.2116465996431625,21.38572442529121,0.22106446097494897,12.0,725.0,-0.014639552248937093,,
desc,bbbp,5,classification,0.9053658536585367,0.9305982001910603,0.792602223992492,1.0565853658536586,5.658536585365854,0.0,1.0,205.0,0.5365853658536679,,
desc,clintox,5,classification,0.908108108108108,0.792340614177084,0.8278703505791606,1.1385135135135136,14.256756756756758,0.40540540540540543,2.0,148.0,0.810810810810807,,
desc,esol,5,regression,0.8508771929824561,,,,,,,114.0,-4.9122807017543835,2.2147035265858763,8.881784197001253e-17
desc,lipophilicity,5,regression,0.8814285714285715,,,,,,,420.0,-1.8571428571428612,2.004252885285837,0.0
desc,bace,5,classification,0.8565789473684211,0.8956291310888789,0.8147869988554227,1.2013157894736843,20.131578947368418,0.0,1.0,152.0,-4.34210526315789,,
desc,sider,5,classification,0.90380658436214,0.8695834482844906,0.8663021841727188,1.5871913580246915,58.86831275720165,0.14917695473251028,27.0,144.0,0.38065843621400575,,
desc,freesolv,5,regression,0.9015384615384617,,,,,,,65.0,0.15384615384617462,2.917780744479143,0.0
fuse_gated,tox21,5,classification,0.9026209519580126,0.7241745573201437,0.9130332701648642,1.1715231077314867,17.74511571892936,0.5928049457806762,12.0,725.0,0.2620951958012654,,
fuse_gated,bbbp,5,classification,0.9014634146341465,0.9216543230080019,0.8055695479627951,1.0292682926829269,3.219512195121952,0.29268292682926833,1.0,205.0,0.14634146341464316,,
fuse_gated,clintox,5,classification,0.9243243243243244,0.8959442026476421,0.8711954461124943,0.9351351351351351,0.0,6.486486486486487,2.0,148.0,2.4324324324324493,,
fuse_gated,esol,5,regression,0.8228070175438595,,,,,,,114.0,-7.719298245614041,2.3447722145555296,2.220446049250313e-16
fuse_gated,lipophilicity,5,regression,0.8742857142857143,,,,,,,420.0,-2.5714285714285694,2.0760290877942795,0.0
fuse_gated,bace,5,classification,0.8565789473684211,0.883236124075343,0.8248318516544109,1.2539473684210525,25.39473684210526,0.0,1.0,152.0,-4.34210526315789,,
fuse_gated,sider,5,classification,0.9039609053497945,0.8612958411712166,0.8582647524823411,1.5828189300411524,58.53909465020577,0.257201646090535,27.0,144.0,0.3960905349794501,,
fuse_gated,freesolv,5,regression,0.8984615384615384,,,,,,,65.0,-0.1538461538461604,3.4154616469982786,0.0
fuse_gated_nograph,tox21,5,classification,0.8988849065396425,0.7111979844910259,0.9108982540423327,1.1617508791550022,17.073888813818794,0.8988008983185569,12.0,725.0,-0.1115093460357457,,
fuse_gated_nograph,bbbp,5,classification,0.9073170731707316,0.9190568814786653,0.8453413650235895,1.0175609756097561,1.9512195121951224,0.1951219512195122,1.0,205.0,0.731707317073159,,
fuse_gated_nograph,clintox,5,classification,0.927027027027027,0.9101980647275909,0.9285352688670766,0.991891891891892,2.7702702702702706,3.5810810810810816,2.0,148.0,2.7027027027026946,,
fuse_gated_nograph,esol,5,regression,0.7807017543859649,,,,,,,114.0,-11.929824561403507,2.0962243935937597,1.3322676295501878e-16
fuse_gated_nograph,lipophilicity,5,regression,0.8823809523809525,,,,,,,420.0,-1.761904761904745,2.0254113992478935,0.0
fuse_gated_nograph,bace,5,classification,0.8473684210526317,0.8809954058610531,0.8130417012914387,1.1618421052631578,16.18421052631579,0.0,1.0,152.0,-5.263157894736835,,
fuse_gated_nograph,sider,5,classification,0.8983024691358026,0.8550472148606367,0.8832643596023061,1.6159465020576131,61.62037037037038,0.0257201646090535,27.0,144.0,-0.16975308641974607,,
fuse_gated_nograph,freesolv,5,regression,0.8923076923076924,,,,,,,65.0,-0.7692307692307594,2.7806953182501686,0.0
rf,tox21,5,classification,0.9073137456302071,0.09766799469593879,0.9658019082441915,0.9767076687108371,2.0391530607027137,4.368386189619002,12.0,725.0,0.731374563020708,,
rf,bbbp,5,classification,0.9014634146341465,0.9820401252740899,0.5875610288420616,1.055609756097561,5.560975609756097,0.0,1.0,205.0,0.14634146341464316,,
rf,clintox,5,classification,0.9182432432432431,0.5045936189414449,0.5133858894728459,0.979054054054054,0.47297297297297297,2.5675675675675675,2.0,148.0,1.8243243243243086,,
