dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_gated,desc,5,0.8267946286729078,0.026125660304321813,0.8281607486970854,0.01821750154264832,-0.0013661200241778416,0.026870298471584966,1,0.625,0.8945854629846588,-0.06311765078291684,inside noise,False,0.8945854629846588,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
bbbp,auc,fuse_gated,desc,5,0.9538088675581056,0.023896170381140357,0.9070845452879752,0.03347636892871406,0.04672432227013048,0.03727483217304359,4,0.125,0.025357982453408742,1.556186966211011,improves,False,0.20286385962726994,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
clintox,auc,fuse_gated,desc,5,0.9847898020879724,0.018604826657372005,0.8410613269485883,0.13302724063519028,0.14372847513938397,0.1325523960975419,5,0.0625,0.039548147607562,1.3461383436112029,improves,False,0.276837033252934,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
esol,rmse,fuse_gated,desc,5,0.8353333902404797,0.15987601481852493,0.771875735045334,0.1437133274778174,-0.06345765519514579,0.1278397592305079,2,0.3125,0.24027896056905562,-0.6162437620649532,inside noise,False,0.6344078791225337,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
lipophilicity,rmse,fuse_gated,desc,5,0.6962694688493387,0.021228201784810344,0.6768944042195973,0.014159642771877992,-0.01937506462974139,0.03199647020295989,1,0.1875,0.16806306414112027,-0.7517536564798392,inside noise,False,0.6344078791225337,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
bace,auc,fuse_gated,desc,5,0.8327650371667621,0.07632040922737773,0.8483419234271142,0.06777773522169107,-0.015576886260352075,0.017872012210883522,1,0.125,0.07280195663668541,-1.0820358645500379,inside noise,False,0.43681173982011245,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
sider,auc,fuse_gated,desc,5,0.6219272002777266,0.03403469218353024,0.6404723011043323,0.035499137867078694,-0.018545100826605675,0.02677595012649961,1,0.1875,0.12688157582450674,-0.8598422239648663,inside noise,False,0.6344078791225337,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
freesolv,rmse,fuse_gated,desc,5,1.10435890907558,0.3133145141693219,0.9703414683452232,0.25427611681111045,-0.13401744073035698,0.21169951387776573,1,0.125,0.15368955693436495,-0.785915617452989,inside noise,False,0.6344078791225337,inside noise,8,2,-0.017060993543478876,0.2890625,0.546875,0.7421875
