a,b,dataset,mean_diff,ci90_low,ci90_high,margin,equivalent
fuse_proposed,fuse_gated,tox21,-0.0020069714673877303,-0.017669058065998597,0.013655115131223137,0.02,True
fuse_proposed,fuse_gated,bbbp,0.012856649842239798,0.00417392788480286,0.021539371799676736,0.02,False
fuse_proposed,fuse_gated,clintox,-3.702185567222571e-07,-0.04460492721454726,0.044604186777433816,0.02,False
fuse_proposed,fuse_gated,bace,0.024512378546605464,0.011268617582799028,0.0377561395104119,0.02,False
fuse_proposed,fuse_gated,sider,0.016112091972229136,-0.005788380198792624,0.038012564143250896,0.02,False
fuse_proposed,fuse_gated,esol,0.052111172712884256,-0.008738923331140798,0.11296126875690932,0.1,False
fuse_proposed,fuse_gated,lipophilicity,0.00759257477897306,-0.009828986942397543,0.025014136500343665,0.1,True
fuse_proposed,fuse_gated,freesolv,0.14847044982161964,0.014312752207478519,0.28262814743576076,0.1,False
fuse_gated_nograph,fuse_gated,tox21,-0.005684871303147232,-0.015609829148521246,0.004240086542226781,0.02,True
fuse_gated_nograph,fuse_gated,bbbp,0.016043226070062856,0.0033433623815535447,0.028743089758572166,0.02,False
fuse_gated_nograph,fuse_gated,clintox,-0.011683536985315813,-0.11021471289937934,0.08684763892874772,0.02,False
fuse_gated_nograph,fuse_gated,bace,0.015372611383527256,-0.000821274211531671,0.031566496978586184,0.02,False
fuse_gated_nograph,fuse_gated,sider,0.002528638999238231,-0.02873014432039971,0.03378742231887617,0.02,False
fuse_gated_nograph,fuse_gated,esol,-0.03172308923881795,-0.17363880699481904,0.11019262851718314,0.1,False
fuse_gated_nograph,fuse_gated,lipophilicity,0.014345327147743458,0.005615958863621262,0.023074695431865654,0.1,True
fuse_gated_nograph,fuse_gated,freesolv,0.12401685377982134,-0.03129846632058976,0.27933217388023246,0.1,False
fuse_proposed,desc,tox21,-0.003373091491565572,-0.024228444207627098,0.017482261224495955,0.02,False
fuse_proposed,desc,bbbp,-1.809880966339161e-05,-0.017617750022538212,0.017581552403211426,0.02,True
fuse_proposed,desc,clintox,0.010157430672069978,-0.04100610978103023,0.06132097112517019,0.02,False
fuse_proposed,desc,bace,0.008935492286253389,-0.002531898728715275,0.02040288330122205,0.02,False
fuse_proposed,desc,sider,-0.0024330088543765395,-0.02695474592488041,0.022088728216127333,0.02,False
fuse_proposed,desc,esol,-0.011346482482261533,-0.07202556241378613,0.04933259744926307,0.1,True
fuse_proposed,desc,lipophilicity,-0.01178248985076833,-0.04283776117808285,0.019272781476546187,0.1,True
fuse_proposed,desc,freesolv,0.014453009091262636,-0.10989837130528346,0.13880438948780874,0.1,False
fuse_gated,desc,tox21,-0.0013661200241778416,-0.022001335914017123,0.01926909586566144,0.02,False
fuse_gated,desc,bbbp,-0.01287474865190319,-0.028045012253413416,0.002295514949607039,0.02,False
fuse_gated,desc,clintox,0.0101578008906267,-0.05308042294412305,0.07339602472537646,0.02,False
fuse_gated,desc,bace,-0.015576886260352075,-0.029301811227129777,-0.0018519612935743723,0.02,False
fuse_gated,desc,sider,-0.018545100826605675,-0.039107861307297036,0.0020176596540856864,0.02,False
fuse_gated,desc,esol,-0.06345765519514579,-0.16163300794815894,0.03471769755786737,0.1,False
fuse_gated,desc,lipophilicity,-0.01937506462974139,-0.0439469565664498,0.005196827306967026,0.1,True
fuse_gated,desc,freesolv,-0.13401744073035698,-0.29659342317660053,0.028558541715886565,0.1,False
fuse_proposed_e2e,fuse_gated_e2e,tox21,-0.00606131595037025,-0.021767274372379124,0.009644642471638626,0.02,False
fuse_proposed_e2e,fuse_gated_e2e,bace,0.027582517256874307,0.021626205667074565,0.03353882884667405,0.02,False
fuse_proposed_e2e,fuse_gated_e2e,sider,-0.009063581960887857,-0.034028149956357015,0.015900986034581305,0.02,False
fuse_proposed_e2e,fuse_gated_e2e,esol,0.07449842778464004,-0.08170034932740587,0.23069720489668594,0.1,False
fuse_proposed_e2e,fuse_gated_e2e,lipophilicity,-0.0027543042640494563,-0.026486922787052437,0.020978314258953527,0.1,True
fuse_proposed_e2e,fuse_gated_e2e,freesolv,0.3089811476812332,0.1810658123587884,0.436896483003678,0.1,False
