dataset,tag,valid_auc,test_auc,params,trainable,best_epoch,mode,seq,valid_rmse,test_rmse
tox21,fuse_proposed,0.8568531066555444,0.8392987011108098,3267217,3267217,3,proposed,cached,,
bbbp,fuse_proposed,0.966629742453614,0.9611451942740287,3263366,3263366,15,proposed,cached,,
clintox,fuse_proposed,0.9892903392903393,0.9509978303968878,3263623,3263623,15,proposed,cached,,
esol,fuse_proposed,,,3259526,3259526,23,proposed,cached,0.6865793846168986,0.8736742694660329
lipophilicity,fuse_proposed,,,3262854,3262854,25,proposed,cached,0.6911929510904476,0.6766623194471484
bace,fuse_proposed,0.9379679144385028,0.7934199134199134,3259014,3259014,14,proposed,cached,,
sider,fuse_proposed,0.617066406943526,0.6420242040221757,3270560,3270560,31,proposed,cached,,
freesolv,fuse_proposed,,,3255942,3255942,32,proposed,cached,0.8653860051271547,0.8084335382246698
