dataset,n_splits,seq,seq_ci,desc,desc_ci,gate_prefers,best_alone,agrees
tox21,5,0.09032709151506424,0.05301068261338577,0.9096729159355164,0.05301055774331864,desc,desc,True
bbbp,5,0.2524823248386383,0.07790871029047537,0.7475176453590393,0.07790873803937917,desc,seq,False
clintox,5,0.7651820182800293,0.0587519308108345,0.23481786251068115,0.0587519215611999,seq,seq,True
esol,5,0.04902063310146332,0.008972758930314732,0.9509793519973755,0.008972746790169319,desc,desc,True
lipophilicity,5,0.028927350416779518,0.00816394255371167,0.971072793006897,0.008163917695318677,desc,desc,True
bace,5,0.04762967303395271,0.03666203438868964,0.9523704648017883,0.03666209913613185,desc,desc,True
sider,5,0.055897556245326996,0.05876953749029937,0.9441024661064148,0.05876956523920317,desc,desc,True
freesolv,5,0.03737971931695938,0.009108672483054059,0.9626202583312988,0.009108777119545493,desc,desc,True
