dataset,tag,valid_auc,test_auc,params,best_epoch,valid_rmse,test_rmse
tox21,gin_ref,0.8509448511616146,0.8143649544258428,276236,25,,
bbbp,gin_ref,0.9430905566325117,0.9397458369851008,273409,17,,
clintox,gin_ref,0.9034159706034706,0.8852541802266861,273666,31,,
esol,gin_ref,,,273409,42,0.9240924766279941,0.9996573263867851
lipophilicity,gin_ref,,,273409,45,0.693417609757422,0.6376554550771895
bace,gin_ref,0.9331550802139038,0.841038961038961,273409,45,,
sider,gin_ref,0.6104183624891616,0.5863653376400775,280091,4,,
freesolv,gin_ref,,,273409,26,1.1482046869559241,1.2099453218660634
