dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed_gpu,fuse_xattn_gpu,5,0.8257677886095728,0.02461638802044395,0.8248455777867341,0.019601040191799694,0.0009222108228388315,0.00922666559436921,2,1.0,0.7951743544691936,0.12408517390760969,inside noise,False,1.0,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
bace,auc,fuse_proposed_gpu,fuse_xattn_gpu,5,0.8553127613910443,0.08021442037108366,0.837436386884135,0.08289519752385319,0.01787637450690922,0.020701036906377316,4,0.125,0.07458139351316018,1.0720666952487587,inside noise,False,0.3729069675658009,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
sider,auc,fuse_proposed_gpu,fuse_xattn_gpu,5,0.6243947427414167,0.022445382870422696,0.5780732623034692,0.027628962720145752,0.0463214804379473,0.027830853426750915,5,0.0625,0.009878459557287786,2.066285683091959,improves,False,0.05927075734372672,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
esol,rmse,fuse_proposed_gpu,fuse_xattn_gpu,5,0.8102289161038738,0.06440669819431777,0.8168700780344539,0.0759133100629627,0.0066411619305800414,0.05022343584845931,2,1.0,0.7321568840818558,0.16416180147277576,inside noise,False,1.0,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
lipophilicity,rmse,fuse_proposed_gpu,fuse_xattn_gpu,5,0.6880641322171857,0.029689285139315704,0.6959997618548232,0.029673927011012804,0.007935629637637543,0.03160087779903758,3,0.4375,0.5241252914033758,0.31175735191266446,inside noise,False,1.0,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
freesolv,rmse,fuse_proposed_gpu,fuse_xattn_gpu,5,1.0195306662541583,0.32227105297084707,0.9490842025630297,0.3411785581929279,-0.07044646369112868,0.08336267149900235,1,0.125,0.07886903843407314,-1.0491124303593407,inside noise,False,0.3729069675658009,inside noise,6,5,0.007288395784108792,0.21875,0.4375,0.21875
