dataset,tag,valid_auc,test_auc,params,trainable,best_epoch,mode,seq,valid_rmse,test_rmse
tox21,fuse_bilinear,0.8559499756228668,0.840981117546349,2130960,2130960,3,bilinear,cached,,
bbbp,fuse_bilinear,0.9617834394904459,0.9653812445223489,2127109,2127109,7,bilinear,cached,,
clintox,fuse_bilinear,0.9936921296296297,0.9246913926607563,2127366,2127366,32,bilinear,cached,,
esol,fuse_bilinear,,,2123269,2123269,23,bilinear,cached,0.7431610117975482,0.8646466851836834
lipophilicity,fuse_bilinear,,,2126597,2126597,7,bilinear,cached,0.6940211712186182,0.6788164436078661
bace,fuse_bilinear,0.950445632798574,0.7880519480519481,2122757,2122757,4,bilinear,cached,,
sider,fuse_bilinear,0.6007096329409941,0.6450115452493479,2134303,2134303,25,bilinear,cached,,
freesolv,fuse_bilinear,,,2119685,2119685,36,bilinear,cached,1.0431059604677346,0.6717045975924975
