dataset,model,n_splits,auc_mean,auc_std,auc_ci95,ap_mean,ap_std,ap_ci95,f1_mean,f1_std,f1_ci95,bal_acc_mean,bal_acc_std,bal_acc_ci95,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,r2_mean,r2_std,r2_ci95
bbbp,rf,5,0.8979611692761461,0.03409937445477891,0.04233317789931775,0.9633544357577513,0.01589897362054991,0.01973801834951178,0.925399961012725,0.02826141843523055,0.035085560173318736,0.8153564207633177,0.03305104815983761,0.0410317175573066,,,,,,,,,
bbbp,gnn,5,0.8958830627019843,0.037771204292750236,0.04689162591287299,0.9620241825250394,0.020750454588932564,0.025760961884210967,0.8841789807297278,0.03558796418728734,0.04418120986392013,0.8183099223567945,0.045057383676593045,0.05593716217253688,,,,,,,,,
bbbp,trf,5,0.8896005932856024,0.023514490389869008,0.029192415427040614,0.9668954337708158,0.007930085199331223,0.009844922754968233,0.7539201755352194,0.12250097766257373,0.15208066901952522,0.7730155628647803,0.05960133301388562,0.07399296538003483,,,,,,,,,
bbbp,hybrid,5,0.9346754478699401,0.017667863025560036,0.021934032530529033,0.9798272143841343,0.008483085659995782,0.01053145343929979,0.8310178791665738,0.11069237697706444,0.1374207052649229,0.8129816228826812,0.06000974843162541,0.07449999880256672,,,,,,,,,
bbbp,ens,5,0.9325648026157518,0.018471369285470333,0.02293155738216839,0.9791528670717774,0.009159669097831637,0.01137140805710725,0.8370133714914209,0.10950367358006288,0.13594497167216962,0.825915552558428,0.06753937044046862,0.08384776054633987,,,,,,,,,
clintox,rf,5,0.8445553850957254,0.07717699191100934,0.09581252971768478,0.6614787397826656,0.03313676595633314,0.04113813319648483,0.5884899976059124,0.06749315577677509,0.08379038666159927,0.7578302222854847,0.0880680484324873,0.10933339456072405,,,,,,,,,
clintox,gnn,5,0.8779328432156663,0.0644258662959094,0.07998245430687553,0.7719250423536167,0.06263055942646725,0.07775364376993293,0.6034653232536116,0.04511289297821986,0.056006075024411954,0.7908791605918599,0.09775872555242715,0.12136403046072568,,,,,,,,,
clintox,trf,5,0.9845623067281508,0.012265915510371742,0.015227704076717924,0.9594289444611375,0.0337937934296155,0.041953809769909575,0.7482730461163281,0.08551564029499965,0.10616466934263466,0.9216468462392802,0.03654905962133877,0.04537437615035384,,,,,,,,,
clintox,hybrid,5,0.9773257514477329,0.01272836427049979,0.015801817999475703,0.9435384908563555,0.024683332648439704,0.030643492112741484,0.7761564600992774,0.13438946037925004,0.16683980351524583,0.8950973827082557,0.07145277597890302,0.08870611632264361,,,,,,,,,
clintox,ens,5,0.9845623067281508,0.012265915510371742,0.015227704076717924,0.9594289444611375,0.0337937934296155,0.041953809769909575,0.766518013389738,0.09734426136696417,0.12084948770512856,0.9249801795726136,0.03699839416309808,0.0459322092307768,,,,,,,,,
