dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde
tox21,auc,fuse_gated,fuse_concat,5,0.8267946286729078,0.026125660304321813,0.8166356705438238,0.027193647686753322,0.010158958129083828,0.007851331924659382,5,0.0625,0.02292277722861219,1.6063504226370682,improves,True
bbbp,auc,fuse_gated,fuse_concat,5,0.9538088675581056,0.023896170381140357,0.9442339365187532,0.033326628279449856,0.00957493103935243,0.01647807638081803,3,0.3125,0.18202943838978788,0.7213791782588882,inside noise,False
clintox,auc,fuse_gated,fuse_concat,5,0.9847898020879724,0.018604826657372005,0.9675310120480614,0.03029537799512122,0.01725879003991091,0.025508304402229044,5,0.0625,0.13355451462987541,0.8399689145398074,inside noise,False
esol,rmse,fuse_gated,fuse_concat,5,0.8353333902404797,0.15987601481852493,0.8592297481748943,0.11899082454765159,0.023896357934414535,0.15052822364387544,3,0.8125,0.6822071641331728,0.19708257944986307,inside noise,False
lipophilicity,rmse,fuse_gated,fuse_concat,5,0.6962694688493387,0.021228201784810344,0.6851715345756108,0.030635696575794173,-0.011097934273727895,0.020751406440777664,2,0.4375,0.21181590545025758,-0.6639403627350685,inside noise,False
bace,auc,fuse_gated,fuse_concat,5,0.8327650371667621,0.07632040922737773,0.8444659396139708,0.06947008393965201,-0.011700902447208516,0.026837168892760513,3,0.8125,0.2927815933231908,-0.541273940838497,inside noise,False
sider,auc,fuse_gated,fuse_concat,5,0.6219272002777266,0.03403469218353024,0.5746760886481012,0.021905962633940027,0.047251111629625496,0.04882415346690866,4,0.125,0.05485347017371615,1.2014667813198885,inside noise,False
freesolv,rmse,fuse_gated,fuse_concat,5,1.10435890907558,0.3133145141693219,0.982771146853822,0.22364888386880738,-0.12158776222175798,0.2576211942105339,3,0.8125,0.26030935359402824,-0.5859259543014026,inside noise,False
