dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_xattn,fuse_concat,5,0.8145658331471844,0.02957570585809163,0.8166356705438238,0.027193647686753322,-0.00206983739663944,0.021873854525794625,1,0.625,0.8057702235232782,-0.11747497720128174,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
bbbp,auc,fuse_xattn,fuse_concat,5,0.894999770861309,0.03199115400960082,0.893364047063395,0.056595993163626526,0.001635723797914057,0.035348811387461966,2,1.0,0.9039877170196541,0.057447299321821445,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
clintox,auc,fuse_xattn,fuse_concat,5,0.8369341026598788,0.10622892072858131,0.863254891568636,0.1462677499169705,-0.02632078890875724,0.14928417614354478,2,0.8125,0.6501534364368484,-0.21888680700560836,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
bace,auc,fuse_xattn,fuse_concat,5,0.8574898315197107,0.06990027924024626,0.8444659396139708,0.06947008393965201,0.013023891905740048,0.03437514604960841,3,0.4375,0.3522509701166612,0.4703603345981767,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
sider,auc,fuse_xattn,fuse_concat,5,0.5916121707107791,0.03726632335352058,0.5746760886481012,0.021905962633940027,0.016936082062678093,0.051470351307814695,2,0.8125,0.41269317520596355,0.4084983215832188,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
esol,rmse,fuse_xattn,fuse_concat,5,0.8499180769428099,0.1047915606342805,0.8592297481748943,0.11899082454765159,0.009311671232084451,0.1124203327165897,2,1.0,0.8294233353749465,0.10282938235824828,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
lipophilicity,rmse,fuse_xattn,fuse_concat,5,0.7144902794444637,0.026987398028522742,0.6851715345756108,0.030635696575794173,-0.029318744868853018,0.043160164142944164,1,0.125,0.1324003197793568,-0.8433284394243447,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
freesolv,rmse,fuse_xattn,fuse_concat,5,0.9419168286633626,0.25162512586376057,0.982771146853822,0.22364888386880738,0.040854318190459524,0.1378556605585293,3,0.625,0.45690302690957957,0.3679152783486009,inside noise,False,1.0,inside noise,8,5,0.005473697514999254,0.7265625,0.7421875,0.7421875
