dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_xattn_e2e,fuse_concat_e2e,5,0.8059434028490988,0.02227477027040826,0.8061819203888815,0.022388649891699353,-0.00023851753978265666,0.01331978303425064,2,0.8125,0.9627367778667111,-0.022230929942180698,inside noise,False,1.0,inside noise,6,3,0.0031129780075549673,1.0,0.4375,0.4375
bace,auc,fuse_xattn_e2e,fuse_concat_e2e,5,0.840935878015652,0.07614098118753859,0.8344714044607594,0.08404835617358297,0.006464473554892591,0.014149179999265665,4,0.3125,0.27348334102217803,0.5672001685987961,inside noise,False,1.0,inside noise,6,3,0.0031129780075549673,1.0,0.4375,0.4375
sider,auc,fuse_xattn_e2e,fuse_concat_e2e,5,0.5666633339210614,0.028023806530961655,0.5389065154219588,0.031887091930572334,0.027756818499102564,0.008080951071185427,5,0.0625,0.0006755419112216716,4.264240278128007,improves,False,0.00405325146733003,improves,6,3,0.0031129780075549673,1.0,0.4375,0.4375
esol,rmse,fuse_xattn_e2e,fuse_concat_e2e,5,0.9699141414370693,0.18011511483729845,0.9662821429297302,0.15281053407165057,-0.003631998507339018,0.11911758836154203,2,1.0,0.9366125895492478,-0.037853342021431625,inside noise,False,1.0,inside noise,6,3,0.0031129780075549673,1.0,0.4375,0.4375
lipophilicity,rmse,fuse_xattn_e2e,fuse_concat_e2e,5,0.721513549962099,0.01879677107926158,0.7205027538241733,0.041956086184084536,-0.001010796137925718,0.03529772468769423,2,1.0,0.9404575917011698,-0.03555095913248791,inside noise,False,1.0,inside noise,6,3,0.0031129780075549673,1.0,0.4375,0.4375
freesolv,rmse,fuse_xattn_e2e,fuse_concat_e2e,5,1.07837806866554,0.1694316247263433,1.3941338826246625,0.3562727854495246,0.3157558139591227,0.37363260320235175,5,0.0625,0.07886018352549798,1.049158370071187,inside noise,False,0.39430091762748987,inside noise,6,3,0.0031129780075549673,1.0,0.4375,0.4375
