dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.8174348087308392,0.01766228592714121,0.8103928377783705,0.038690200030899714,0.0070419709524687235,0.028161264244303576,3,0.8125,0.5257868768087433,0.3104391897305676,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
bbbp,auc,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.9500303489048318,0.02471063953348539,0.9411048828042746,0.05264300031285568,0.008925466100557245,0.029547118296368947,2,0.8125,0.4489027499672108,0.3750163767493499,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
clintox,auc,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.9842968720015624,0.01520023064072445,0.9708473727118705,0.038809559696609625,0.013449499289691857,0.03700646927806362,3,0.27332167829229814,0.37009714986931613,0.451193593156572,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
esol,rmse,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.8430447757127466,0.11731148186597522,0.8321352409450823,0.13270088728610283,-0.010909534767664453,0.03106557634894635,1,0.625,0.38482633356461965,-0.4359746874070894,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
lipophilicity,rmse,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.695497711397756,0.00849112391605345,0.6990735504229545,0.02330829749364818,0.0035758390251984682,0.021431081741569574,3,0.8125,0.6673120169254025,0.20714207702444057,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
bace,auc,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.8557550974361311,0.08167881653634275,0.8414924019002605,0.07610614537967769,0.01426269553587054,0.03184092231976421,4,0.3125,0.28159499933682286,0.5560968459286235,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
sider,auc,fuse_proposed_e2e,fuse_bilinear_e2e,5,0.6308654490273545,0.027785565169013062,0.6296503458782075,0.01738682762833106,0.0012151031491469898,0.02578130868409102,3,0.8125,0.9022212938438444,0.058511690697324155,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
freesolv,rmse,fuse_proposed_e2e,fuse_bilinear_e2e,5,1.0017816717496506,0.236310153792271,0.998029345743652,0.26758451950324696,-0.0037523260059986407,0.15429615355424417,3,0.8125,0.9494158881009267,-0.030191168585527863,inside noise,False,1.0,inside noise,8,6,0.005308904988833596,0.2890625,0.25,0.1484375
