tag,dataset,n_splits,task_type,coverage,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,coverage_gap,mean_width,half_width,n
rf,tox21,5,classification,0.9073137456302071,0.9767076687108371,2.0391530607027137,4.368386189619002,12.0,0.731374563020708,,,
rf,bbbp,5,classification,0.9014634146341465,1.055609756097561,5.560975609756097,0.0,1.0,0.14634146341464316,,,
rf,clintox,5,classification,0.9182432432432431,0.979054054054054,0.47297297297297297,2.5675675675675675,2.0,1.8243243243243086,,,
rf,esol,5,regression,0.8771929824561404,,,,,-2.2807017543859587,5.924776736366673,2.9623883681833365,114.0
rf,lipophilicity,5,regression,0.8814285714285715,,,,,-1.8571428571428612,3.1123024920172866,1.5561512460086433,420.0
gnn,tox21,5,classification,0.8996626661877952,1.2169989862839155,22.103594662180797,0.40369603378925156,12.0,-0.03373338122047187,,,
gnn,bbbp,5,classification,0.9209756097560975,1.255609756097561,25.560975609756095,0.0,1.0,2.0975609756097526,,,
gnn,clintox,5,classification,0.9216216216216215,1.0966216216216216,9.864864864864863,0.20270270270270271,2.0,2.162162162162147,,,
gnn,esol,5,regression,0.9368421052631579,,,,,3.6842105263157947,3.951759195327759,1.9758795976638794,114.0
gnn,lipophilicity,5,regression,0.8761904761904763,,,,,-2.3809523809523654,2.4315493583679197,1.2157746791839599,420.0
trf,tox21,5,classification,0.9103093694088003,0.9933857595178399,3.0983202027096484,3.7597442509256687,12.0,1.030936940880025,,,
trf,bbbp,5,classification,0.8507317073170733,1.3151219512195123,31.51219512195122,0.0,1.0,-4.926829268292678,,,
trf,clintox,5,classification,0.9263513513513514,0.9425675675675675,0.0,5.743243243243244,2.0,2.635135135135144,,,
trf,esol,5,regression,0.9052631578947368,,,,,0.5263157894736707,4.896983909606933,2.4484919548034667,114.0
trf,lipophilicity,5,regression,0.8961904761904762,,,,,-0.3809523809523796,3.568336296081543,1.7841681480407714,420.0
hybrid,tox21,5,classification,0.901795518403609,1.1871013087673177,18.847060469084678,0.13692959235290247,12.0,0.17955184036090088,,,
hybrid,bbbp,5,classification,0.9092682926829267,1.2302439024390244,23.024390243902438,0.0,1.0,0.9268292682926784,,,
hybrid,clintox,5,classification,0.9094594594594595,0.9939189189189189,1.8243243243243241,2.4324324324324325,2.0,0.9459459459459509,,,
hybrid,esol,5,regression,0.9350877192982455,,,,,3.5087719298245474,4.059229230880737,2.0296146154403685,114.0
hybrid,lipophilicity,5,regression,0.8904761904761905,,,,,-0.952380952380949,2.328780937194824,1.164390468597412,420.0
ens,tox21,5,classification,0.8981601235932372,1.1728203689416143,17.73943384340411,0.45739694924266594,12.0,-0.18398764067627837,,,
ens,bbbp,5,classification,0.9073170731707316,1.1531707317073172,15.317073170731708,0.0,1.0,0.731707317073159,,,
ens,clintox,5,classification,0.9263513513513514,0.9425675675675675,0.0,5.743243243243244,2.0,2.635135135135144,,,
ens,esol,5,regression,0.9456140350877194,,,,,4.561403508771932,4.152983140945435,2.0764915704727174,114.0
ens,lipophilicity,5,regression,0.8914285714285715,,,,,-0.8571428571428612,2.3409047603607176,1.1704523801803588,420.0
