tag,dataset,band,task_type,n_band,coverage,coverage_pos,coverage_neg,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,n,coverage_gap
rf,tox21,0.0-0.3,classification,73.66666666666667,0.8919548521729137,0.025282904230272647,0.9671355475151141,0.9783318879244761,1.3453570366310064,3.51216824418338,12.0,68.16666666666667,-0.8045147827086225
rf,tox21,0.3-0.4,classification,161.0,0.8967227914358785,0.04960412607331214,0.9659901121214212,0.9810137723873052,2.056038636867388,3.954661398136862,12.0,146.83333333333334,-0.3277208564121423
rf,tox21,0.4-0.5,classification,179.33333333333334,0.9030298748449388,0.09682283923465497,0.9657915356836151,0.9887467645864615,3.111057808513795,4.236381349867651,12.0,162.0,0.30298748449388313
rf,tox21,0.5-0.7,classification,255.16666666666666,0.9067752066410509,0.14433488938390898,0.9666559766604296,0.9847149522098669,3.213622046999511,4.742126826012807,12.0,238.16666666666666,0.6775206641050886
rf,tox21,0.7-1.0,classification,113.83333333333333,0.925466748793765,0.18984352838519503,0.9653457776592994,0.9783321780429107,2.1718333370424543,4.3386155327513825,12.0,108.16666666666667,2.5466748793764964
gnn,tox21,0.0-0.3,classification,73.66666666666667,0.8663702781847343,0.520912999037999,0.8884663944722107,1.2592539232688111,26.15897818546699,0.2335858585858586,12.0,68.16666666666667,-3.3629721815265725
gnn,tox21,0.3-0.4,classification,161.0,0.881089566045282,0.6678768911743873,0.8923376946992972,1.3024617627200905,30.652725967403807,0.40654969539475155,12.0,146.83333333333334,-1.8910433954717973
gnn,tox21,0.4-0.5,classification,179.33333333333334,0.8967071754104722,0.7426352929467553,0.9045857734200718,1.2836447473430463,28.695175204864416,0.33070047055977486,12.0,162.0,-0.3292824589527754
gnn,tox21,0.5-0.7,classification,255.16666666666666,0.9050004133091187,0.8234330963344981,0.9101754544575363,1.2681152337853252,27.15627821887382,0.3447548403412913,12.0,238.16666666666666,0.5000413309118699
gnn,tox21,0.7-1.0,classification,113.83333333333333,0.9252415715879523,0.7956426675176674,0.9305811274441919,1.244439615328957,24.743481220407517,0.29951968751181896,12.0,108.16666666666667,2.5241571587952336
trf,tox21,0.0-0.3,classification,73.66666666666667,0.9068801090107682,0.07762714867978025,0.9745845942816085,1.0084392590481304,3.53261608991626,2.688690185103233,12.0,68.16666666666667,0.6880109010768223
trf,tox21,0.3-0.4,classification,161.0,0.9019258358742387,0.09007565516311272,0.9645478503924969,0.997422346636451,3.612782363762685,3.8705477001175606,12.0,146.83333333333334,0.1925835874238686
trf,tox21,0.4-0.5,classification,179.33333333333334,0.9029195522140938,0.11274897257821342,0.9629976387901076,1.0029004110887085,4.399701076991147,4.109659968120291,12.0,162.0,0.29195522140938124
trf,tox21,0.5-0.7,classification,255.16666666666666,0.9036509654435668,0.12053264967480655,0.965001581217296,1.0013721337530324,4.388753069598072,4.251539694294832,12.0,238.16666666666666,0.3650965443566889
trf,tox21,0.7-1.0,classification,113.83333333333333,0.9338773257353233,0.10969293052626385,0.9813652001013856,0.9987153480315234,2.4162693213148088,2.5447345181624685,12.0,108.16666666666667,3.3877325735323325
hybrid,tox21,0.0-0.3,classification,73.66666666666667,0.8803498990782811,0.632986111111111,0.8983934669871417,1.3076541915981756,30.89388404118944,0.12846488137185813,12.0,68.16666666666667,-1.9650100921718945
hybrid,tox21,0.3-0.4,classification,161.0,0.8865266837416685,0.7465553647498427,0.8963865922523966,1.30098240463549,30.353479254972026,0.25523879142300193,12.0,146.83333333333334,-1.3473316258331494
hybrid,tox21,0.4-0.5,classification,179.33333333333334,0.8998905727889062,0.766105514132566,0.9087475705994875,1.2748277255080798,27.61133861687404,0.12856606606606608,12.0,162.0,-0.010942721109387321
hybrid,tox21,0.5-0.7,classification,255.16666666666666,0.903522348679474,0.8385260827856288,0.9083930338053046,1.2514169851070094,25.21648483548726,0.07478632478632478,12.0,238.16666666666666,0.3522348679474021
hybrid,tox21,0.7-1.0,classification,113.83333333333333,0.9172857940578177,0.7879579718121384,0.9248226606148787,1.1922934618698602,19.255551637719797,0.02620545073375262,12.0,108.16666666666667,1.7285794057817725
ens,tox21,0.0-0.3,classification,73.66666666666667,0.872794867742701,0.5614387926887927,0.893054421449873,1.2527784483828623,25.654508048188234,0.37666320990200736,12.0,68.16666666666667,-2.7205132257299027
ens,tox21,0.3-0.4,classification,161.0,0.8768970140788461,0.6843641443338971,0.8883700302715978,1.2665316097173462,27.254782627390586,0.6016216556559583,12.0,146.83333333333334,-2.3102985921153874
ens,tox21,0.4-0.5,classification,179.33333333333334,0.8961408674586631,0.7237949051394389,0.9059095839962055,1.250896729498258,25.46962246548136,0.3799495156555667,12.0,162.0,-0.3859132541336976
ens,tox21,0.5-0.7,classification,255.16666666666666,0.9037688388143895,0.8276510913366995,0.9093114107777249,1.2370924260051306,24.02638720192545,0.31714460141238204,12.0,238.16666666666666,0.3768838814389568
ens,tox21,0.7-1.0,classification,113.83333333333333,0.9219785643830501,0.7722988045904713,0.9297384857652476,1.1962337353208083,19.909331141341486,0.285957609260628,12.0,108.16666666666667,2.19785643830501
desc,tox21,0.0-0.3,classification,73.66666666666667,0.8865113732240638,0.5567521233639655,0.9074678338867548,1.2253640747967178,22.72086257484116,0.18445509516938088,12.0,68.16666666666667,-1.3488626775936154
desc,tox21,0.3-0.4,classification,161.0,0.8824014013373366,0.6871520269652938,0.8940953505818023,1.2313571532016627,23.445653634244724,0.30993831407843214,12.0,146.83333333333334,-1.7598598662663392
desc,tox21,0.4-0.5,classification,179.33333333333334,0.8893558388413377,0.7377938324428323,0.8981974953814862,1.2253643958375608,22.813632759044992,0.2771931752889036,12.0,162.0,-1.0644161158662229
desc,tox21,0.5-0.7,classification,255.16666666666666,0.899644362171025,0.840707259094127,0.9028085716482797,1.2088994471549097,21.12421227360476,0.23426755811379396,12.0,238.16666666666666,-0.03556378289751194
desc,tox21,0.7-1.0,classification,113.83333333333333,0.9255690824601426,0.8137491366658033,0.9315589762056552,1.1745414560305691,17.834439820156692,0.3802942170997727,12.0,108.16666666666667,2.5569082460142596
gin_ref_gpu,tox21,0.0-0.3,classification,73.66666666666667,0.8721626195805453,0.6214311030100504,0.8902772859852118,1.3401611414568217,34.08071362888632,0.06459948320413438,12.0,68.16666666666667,-2.783738041945469
gin_ref_gpu,tox21,0.3-0.4,classification,161.0,0.8850502877707601,0.7884261523697044,0.8901646561763995,1.3571329128538252,35.83880160205471,0.1255103166721836,12.0,146.83333333333334,-1.4949712229239935
gin_ref_gpu,tox21,0.4-0.5,classification,179.33333333333334,0.8961067363734031,0.7824324701818793,0.9010251801170884,1.3303034607071107,33.14553443216807,0.11518836145701816,12.0,162.0,-0.3893263626596877
gin_ref_gpu,tox21,0.5-0.7,classification,255.16666666666666,0.8972065368995171,0.8330543062561682,0.9014069359604876,1.3122932633932138,31.363330003075955,0.13400366375458628,12.0,238.16666666666666,-0.2793463100482825
gin_ref_gpu,tox21,0.7-1.0,classification,113.83333333333333,0.9306108299978724,0.771355708334875,0.9392824191723275,1.2496999769530965,25.093238312523013,0.12324061721336355,12.0,108.16666666666667,3.0610829997872315
attentivefp,tox21,0.0-0.3,classification,73.66666666666667,0.8768270805040014,0.6388768638768638,0.8929648203640651,1.2849735548205121,28.49735548205119,0.0,12.0,68.16666666666667,-2.3172919495998627
attentivefp,tox21,0.3-0.4,classification,161.0,0.8859530210200237,0.7596929917210878,0.8917816271764956,1.30916367182155,30.916367182155028,0.0,12.0,146.83333333333334,-1.404697897997636
attentivefp,tox21,0.4-0.5,classification,179.33333333333334,0.8983248487352098,0.8428796763304618,0.9005119890923075,1.2941143329342168,29.411433293421684,0.0,12.0,162.0,-0.16751512647901734
attentivefp,tox21,0.5-0.7,classification,255.16666666666666,0.9057668252634233,0.8773125586918802,0.9071095607695104,1.2789335340201793,27.89335340201794,0.0,12.0,238.16666666666666,0.5766825263423385
