model,dataset,canonical,seeded_mean,gap
attentivefp,tox21,0.7808341792530878,0.8232255016347441,0.042391322381656216
attentivefp,bbbp,0.6703921379709028,0.8932823197018782,0.2228901817309754
attentivefp,clintox,0.8953558892016822,0.9228872392164075,0.027531350014725287
attentivefp,bace,0.8079710144927537,0.8271340624180074,0.019163047925253696
attentivefp,sider,0.5602028113411027,0.5793230011977955,0.019120189856692726
chemprop,tox21,0.7208114965971184,0.8216486836165643,0.10083718701944588
chemprop,bbbp,0.6687542152423162,0.8915643421297954,0.22281012688747925
chemprop,clintox,0.865100093837973,0.8642461982684712,-0.0008538955695018835
chemprop,bace,0.7547101449275362,0.8403869596119222,0.08567681468438604
chemprop,sider,0.6149364451018291,0.5984184459988915,-0.01651799910293761
desc,tox21,0.7567074839141498,0.8281607486970854,0.07145326478293568
desc,bbbp,0.7150977936217362,0.9070845452879752,0.19198675166623902
desc,clintox,0.8672740068814514,0.8410613269485883,-0.026212679932863137
desc,bace,0.8259057971014492,0.8483419234271142,0.02243612632566505
desc,sider,0.6132745041493017,0.6404723011043323,0.02719779695503055
ens,tox21,0.7513851533981991,0.8222846822621254,0.07089952886392625
fuse_bilinear,tox21,0.7602946884378166,0.8266716714922033,0.06637698305438677
fuse_bilinear,bbbp,0.7570093457943925,0.9022201976358989,0.1452108518415064
fuse_bilinear,clintox,0.8113978382511382,0.8197723143778444,0.008374476126706165
fuse_bilinear,bace,0.8157608695652173,0.8512888158051064,0.035527946239889086
fuse_bilinear,sider,0.5868255011784405,0.6157610005261229,0.02893549934768247
fuse_bilinear_e2e,tox21,0.7453335643614327,0.8103928377783705,0.06505927341693774
fuse_bilinear_e2e,bace,0.8264492753623188,0.8414924019002605,0.015043126537941709
fuse_bilinear_e2e,sider,0.5924385958696697,0.6296503458782075,0.037211750008537714
fuse_bilinear_gpu,tox21,0.7485390940669198,0.8258620761439323,0.07732298207701249
fuse_bilinear_gpu,bace,0.784963768115942,0.8489750138429104,0.06401124572696837
fuse_bilinear_gpu,sider,0.588533528504049,0.6334535862648653,0.0449200577608162
fuse_bilinear_r128_gpu,tox21,0.7557812074871361,0.8270535392039144,0.07127233171677838
fuse_bilinear_r128_gpu,bace,0.8342391304347827,0.849018895884034,0.014779765449251303
fuse_bilinear_r128_gpu,sider,0.6179200525280175,0.6233884546635124,0.005468402135494932
fuse_bilinear_r16_gpu,tox21,0.7524930740104337,0.8237553531325063,0.0712622791220725
fuse_bilinear_r16_gpu,bace,0.8048913043478261,0.8378137986964408,0.03292249434861472
fuse_bilinear_r16_gpu,sider,0.5845327984352285,0.6139997723561805,0.02946697392095199
fuse_bilinear_r32_gpu,tox21,0.7443848907369014,0.8241948703202266,0.07980997958332525
fuse_bilinear_r32_gpu,bace,0.808695652173913,0.8455689010220769,0.0368732488481639
fuse_bilinear_r32_gpu,sider,0.5937485521130109,0.6231016758380217,0.029353123725010755
fuse_concat,tox21,0.7430043874977001,0.8166356705438238,0.07363128304612365
fuse_concat,bbbp,0.730128143366413,0.893364047063395,0.16323590369698204
fuse_concat,clintox,0.9241624092030724,0.863254891568636,-0.06090751763443636
fuse_concat,bace,0.7916666666666666,0.8444659396139708,0.05279927294730413
fuse_concat,sider,0.5537008718741186,0.5746760886481012,0.020975216773982508
fuse_concat_e2e,tox21,0.7193522840296489,0.8061819203888815,0.08682963635923258
fuse_concat_e2e,bace,0.7934782608695652,0.8344714044607594,0.040993143591194214
fuse_concat_e2e,sider,0.5425051636991469,0.5389065154219588,-0.0035986482771881434
fuse_concat_gpu,tox21,0.7419585786121637,0.8116515524078309,0.06969297379566719
fuse_concat_gpu,bace,0.7831521739130434,0.8424692006046,0.059317026691556585
fuse_concat_gpu,sider,0.5727900493405665,0.5604618033311681,-0.012328246009398414
fuse_gated,tox21,0.7487022887145867,0.8267946286729078,0.0780923399583211
fuse_gated,bbbp,0.7380287118219481,0.894209796636072,0.15618108481412396
