dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.8241948703202266,0.030095278482550773,0.8237553531325063,0.026115020526007744,0.0004395171877204174,0.015066338488113368,3,1.0,0.9393464641600353,0.036216176876665736,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
bace,auc,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.8455689010220769,0.07015009776072849,0.8378137986964408,0.10312186698987753,0.007755102325636143,0.03564303376831921,2,0.8125,0.5784298022961559,0.270114146695866,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
sider,auc,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.6231016758380217,0.031587624996412905,0.6139997723561805,0.030293851282091482,0.0091019034818411,0.038924322739371034,3,0.8125,0.5516437683302997,0.29029905403143014,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
esol,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.8461326566644832,0.12103869339058754,0.8546907351630969,0.191691760525392,0.00855807849861372,0.14366965886464508,3,1.0,0.8766814074783301,0.07395127477324764,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
lipophilicity,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.6902507642525946,0.015531978241143359,0.687350707470067,0.025991485147446054,-0.0029000567825277824,0.01692456403717355,3,0.8125,0.6591204051064541,-0.2127274188465084,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
freesolv,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_r16_gpu,5,0.9703575208306386,0.23111311640959195,0.9849337912126629,0.28824742106502294,0.01457627038202427,0.11019286053654301,4,0.625,0.7320662434454668,0.16422051812867886,inside noise,False,1.0,inside noise,6,5,0.008156590412124931,0.21875,0.09375,0.21875
