dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,attentivefp,desc,5,0.8232255016347441,0.008225295210856201,0.8281607486970854,0.01821750154264832,-0.0049352470623413415,0.013171281692139573,2,0.3125,0.3570033838965893,-0.4651738795670061,inside noise,False,1.0,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
bbbp,auc,attentivefp,desc,5,0.8932823197018782,0.027382825865653524,0.9070845452879752,0.03347636892871406,-0.013802225586096917,0.016714544724792564,1,0.125,0.08364367000021462,-1.0251538080475104,inside noise,False,0.5855056900015023,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
clintox,auc,attentivefp,desc,5,0.9228872392164075,0.05288537525673843,0.8410613269485883,0.13302724063519028,0.08182591226781928,0.11866832315095442,4,0.125,0.12813209628631606,0.8560330057537351,inside noise,False,0.7687925777178963,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
esol,rmse,attentivefp,desc,5,0.8181456634055626,0.18506875557602764,0.771875735045334,0.1437133274778174,-0.046269928360228606,0.07259509559914562,1,0.125,0.15155641650539653,-0.7912723774617252,inside noise,False,0.7687925777178963,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
lipophilicity,rmse,attentivefp,desc,5,0.6585681102665032,0.06867482023163726,0.6768944042195973,0.014159642771877992,0.018326293953094062,0.06699177909004422,4,0.3125,0.4899033825032385,0.3396155730186424,inside noise,False,1.0,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
bace,auc,attentivefp,desc,5,0.8271340624180074,0.06436226563702359,0.8483419234271142,0.06777773522169107,-0.021207861009106897,0.04452522752179269,1,0.3125,0.256627560644753,-0.5913235570959976,inside noise,False,1.0,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
sider,auc,attentivefp,desc,5,0.5793230011977955,0.05058978862232754,0.6404723011043323,0.035499137867078694,-0.061149299906536905,0.042232275934883025,0,0.0625,0.015871679935031018,-1.7975519984835358,degrades,False,0.12697343948024814,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
freesolv,rmse,attentivefp,desc,5,1.1274400704098588,0.40130962777126034,0.9703414683452232,0.25427611681111045,-0.1570986020646354,0.3720571994761969,2,0.3125,0.30618583107855396,-0.5242000612671411,inside noise,False,1.0,inside noise,8,2,-0.017505043297601906,0.2890625,0.3125,0.1484375
