dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,seq_frozen,gin_ref,5,0.7818023607264241,0.020992469947840993,0.8106552202760795,0.03341955086339533,-0.028852859549655486,0.030709334379390902,1,0.125,0.05953360943118959,-1.1664145220173128,inside noise,False,0.14342076184916294,inside noise,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
bace,auc,seq_frozen,gin_ref,5,0.8295865945038985,0.04380059560842838,0.83707872295955,0.05956373684876078,-0.0074921284556513255,0.02590736270050504,2,0.3125,0.4670854877492264,-0.35901820341545415,inside noise,False,0.4670854877492264,inside noise,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
sider,auc,seq_frozen,gin_ref,5,0.5826270152593722,0.04131924027204715,0.6222433974449373,0.028056901838833567,-0.03961638218556509,0.03899221858681364,0,0.0625,0.047806920616387645,-1.2613375529635138,degrades,False,0.14342076184916294,inside noise,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
esol,rmse,seq_frozen,gin_ref,5,1.4319071956946714,0.2574325594070654,1.125052355897687,0.3571826424538576,-0.3068548397969844,0.22898859038127684,0,0.0625,0.020475189562229528,-1.6636179339020045,degrades,False,0.08190075824891811,inside noise,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
lipophilicity,rmse,seq_frozen,gin_ref,5,1.020487784304541,0.12535324093262293,0.7438659913595245,0.15906575309273838,-0.27662179294501665,0.1765103823638602,0,0.0625,0.012152657156950105,-1.9455867314349846,degrades,False,0.06076328578475052,inside noise,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
freesolv,rmse,seq_frozen,gin_ref,5,2.175500720030438,0.4670212080320587,1.5258523429088533,0.3541527871608632,-0.649648377121585,0.28804011511825767,0,0.0625,0.0033197089453517034,-2.8000116716831522,degrades,False,0.01991825367211022,degrades,6,0,-0.15811908756529086,0.03125,0.03125,0.03125
