dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed_e2e,fuse_concat_e2e,5,0.8174348087308392,0.01766228592714121,0.8061819203888815,0.022388649891699353,0.011252888341957612,0.010501185990128134,4,0.125,0.04095262167279545,1.3303322477932351,improves,True,0.12743202619285376,inside noise,6,6,0.05848198801590648,0.03125,0.03125,0.03125
bace,auc,fuse_proposed_e2e,fuse_concat_e2e,5,0.8557550974361311,0.08167881653634275,0.8344714044607594,0.08404835617358297,0.021283692975371693,0.02913265887585159,4,0.125,0.112457442601596,0.9069875413304753,inside noise,False,0.224914885203192,inside noise,6,6,0.05848198801590648,0.03125,0.03125,0.03125
sider,auc,fuse_proposed_e2e,fuse_concat_e2e,5,0.6308654490273545,0.027785565169013062,0.5389065154219588,0.031887091930572334,0.09195893360539562,0.029059263805893493,5,0.0625,0.0009260189390294856,3.9286539691901186,improves,False,0.005556113634176914,improves,6,6,0.05848198801590648,0.03125,0.03125,0.03125
esol,rmse,fuse_proposed_e2e,fuse_concat_e2e,5,0.8430447757127466,0.11731148186597522,0.9662821429297302,0.15281053407165057,0.12323736721698357,0.09837954069084592,5,0.0625,0.025411521090960048,1.5551492694512958,improves,False,0.12705760545480024,inside noise,6,6,0.05848198801590648,0.03125,0.03125,0.03125
lipophilicity,rmse,fuse_proposed_e2e,fuse_concat_e2e,5,0.695497711397756,0.00849112391605345,0.7205027538241733,0.041956086184084536,0.025005042426417344,0.034719797483751945,5,0.0625,0.11621431511489726,0.8940974825051808,inside noise,False,0.224914885203192,inside noise,6,6,0.05848198801590648,0.03125,0.03125,0.03125
freesolv,rmse,fuse_proposed_e2e,fuse_concat_e2e,5,1.0017816717496506,0.236310153792271,1.3941338826246625,0.3562727854495246,0.3923522108750118,0.3367992591766505,5,0.0625,0.03185800654821344,1.4462368936269419,improves,False,0.12743202619285376,inside noise,6,6,0.05848198801590648,0.03125,0.03125,0.03125
