dataset,variant,arm,metric,value,n_tasks,n_features
bace,seed0,motif,auc,0.7265584075432163,1,259
bace,seed0,desc+motif,auc,0.751265933298411,1,1475
bace,seed1,desc,auc,0.8866411518133771,1,1216
bace,seed1,motif,auc,0.8366138144705668,1,274
bace,seed1,desc+motif,auc,0.890103881902679,1,1490
bace,seed2,desc,auc,0.894167278063096,1,1216
bace,seed2,motif,auc,0.8329970652971387,1,273
bace,seed2,desc+motif,auc,0.8793103448275862,1,1489
bace,seed3,desc,auc,0.917056277056277,1,1216
bace,seed3,motif,auc,0.9020779220779221,1,267
bace,seed3,desc+motif,auc,0.9242424242424243,1,1483
bace,seed4,desc,auc,0.7856277056277056,1,1216
bace,seed4,motif,auc,0.7947186147186147,1,281
bace,seed4,desc+motif,auc,0.7845021645021645,1,1497
sider,deepchem,desc,auc,0.5783405052118619,27,1235
sider,deepchem,motif,auc,0.5826361984157162,27,228
sider,deepchem,desc+motif,auc,0.5784050623885837,27,1463
sider,seed0,desc,auc,0.603760722143234,27,1233
sider,seed0,motif,auc,0.6012910043512844,27,221
sider,seed0,desc+motif,auc,0.6077700709386836,27,1454
sider,seed1,desc,auc,0.5894268729168491,26,1234
sider,seed1,motif,auc,0.5886164380808708,26,223
sider,seed1,desc+motif,auc,0.5926163557080218,26,1457
sider,seed2,desc,auc,0.6451230967457943,26,1233
sider,seed2,motif,auc,0.5978057230062226,26,213
sider,seed2,desc+motif,auc,0.6509479538712054,26,1446
sider,seed3,desc,auc,0.6056292855338028,27,1235
sider,seed3,motif,auc,0.5900272041780045,27,215
sider,seed3,desc+motif,auc,0.6033852146426578,27,1450
sider,seed4,desc,auc,0.6134877745384164,27,1235
sider,seed4,motif,auc,0.5737316815613025,27,210
sider,seed4,desc+motif,auc,0.6159496185542572,27,1445
freesolv,deepchem,desc,rmse,2.4968706019464593,1,1193
freesolv,deepchem,motif,rmse,4.986166335859862,1,27
freesolv,deepchem,desc+motif,rmse,2.4721734050147246,1,1220
freesolv,seed0,desc,rmse,1.3996984648726112,1,1206
freesolv,seed0,motif,rmse,4.5170437010097,1,32
