dataset,tag,valid_auc,test_auc,params,best_epoch,valid_rmse,test_rmse
tox21,gine,0.8606068200762129,0.8300478501213302,1339664,60,,
bbbp,gine,0.9336748823040709,0.9438358165352031,1334021,38,,
clintox,gine,0.8997043754856255,0.8628637825908054,1334534,10,,
esol,gine,,,1334021,60,0.8801488999325463,0.9972002648135679
lipophilicity,gine,,,1334021,28,0.7950925748092389,0.747605917862167
bace,gine,0.8802139037433157,0.8044155844155845,1334021,32,,
sider,gine,0.5781658440072514,0.5851151545668751,1347359,36,,
freesolv,gine,,,1334021,76,0.9709114711251571,1.1675696256702255
