dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.8241948703202266,0.030095278482550773,0.8258620761439323,0.019137493867883545,-0.0016672058237056531,0.01440329855259786,3,1.0,0.7640522502391541,-0.1437016369676057,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
bbbp,auc,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.9460719699111719,0.025009271323230456,0.9494276037818417,0.021125029247281008,-0.0033556338706697496,0.007868287684246812,1,0.3125,0.30200055244927493,-0.5294546885939666,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
clintox,auc,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.9755227972286272,0.037721476539722854,0.9835497777177821,0.020732779533756893,-0.008026980489154756,0.019125743120163595,1,0.27332167829229814,0.3087313964481001,-0.521036740775665,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
esol,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.8461326566644832,0.12103869339058754,0.8284383994156073,0.15644278004916085,-0.01769425724887581,0.06445103156460942,2,0.625,0.4884514424234776,-0.34082930094613856,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
lipophilicity,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.6902507642525946,0.015531978241143359,0.691146946613089,0.017371588750358553,0.0008961823604942465,0.01827039251345504,2,1.0,0.8982682342058446,0.06089518769635442,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
bace,auc,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.8455689010220769,0.07015009776072849,0.8489750138429104,0.09623264925481453,-0.0034061128208335177,0.027721968687534685,3,1.0,0.7502073501827692,-0.1525349696547448,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
sider,auc,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.6231016758380217,0.031587624996412905,0.6334535862648653,0.014449606292355702,-0.010351910426843646,0.02245755305091998,2,0.4375,0.26986237100302907,-0.5722588671738242,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
freesolv,rmse,fuse_bilinear_r32_gpu,fuse_bilinear_gpu,5,0.9703575208306386,0.23111311640959195,0.9755650546331374,0.2844318873051625,0.005207533802498898,0.1319998896918669,3,1.0,0.9180675130570857,0.0489770912727887,inside noise,False,1.0,inside noise,8,2,-0.0033808733457516334,0.2890625,0.109375,0.0390625
