dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed,hybrid,5,0.8247876572055199,0.020905866482019586,0.8221926910038697,0.017425139567727083,0.0025949662016503173,0.024753720376629405,4,0.625,0.7855082091416425,0.13014445964859134,inside noise,False,0.7855082091416425,inside noise,3,3,0.0716463702358187,0.25,0.25,0.25
esol,rmse,fuse_proposed,hybrid,5,0.7832222175275956,0.10196681569644125,0.987184645112859,0.07980979071147411,0.20396242758526348,0.10578124675852749,5,0.0625,0.0058755737245586095,2.393734342424428,improves,False,0.01762672117367583,improves,3,3,0.0716463702358187,0.25,0.25,0.25
lipophilicity,rmse,fuse_proposed,hybrid,5,0.6886768940703656,0.03501206521459268,0.7603232643061844,0.12347907037749652,0.0716463702358187,0.1012425989080405,4,0.1875,0.12093023444332922,0.8785477433880877,inside noise,False,0.24186046888665844,inside noise,3,3,0.0716463702358187,0.25,0.25,0.25
