dataset,n_splits,graph,graph_ci,seq,seq_ci,desc,desc_ci,gate_prefers,best_alone,agrees
tox21,5,0.007467756513506174,0.004614877123354555,0.1914704442024231,0.1048399186486953,0.8010616302490234,0.10888829872128972,desc,desc,True
bbbp,5,0.013872494921088219,0.013266878092095084,0.5219522714614868,0.2122989083334795,0.46417516469955444,0.2104504058568123,seq,graph,False
clintox,5,0.008033456280827522,0.002771000042090497,0.76321941614151,0.11713117534428603,0.22874704003334045,0.11696165729093554,seq,graph,False
esol,5,0.010471776127815247,0.0056395051073377615,0.2806137800216675,0.1303960023299081,0.7089144587516785,0.13179981937345056,desc,desc,True
lipophilicity,5,0.005881238263100386,0.0019175720996999239,0.2607825696468353,0.06805720658976229,0.7333362102508545,0.06995192486571827,desc,desc,True
bace,5,0.00397875439375639,0.001711810653891453,0.5306878685951233,0.20861089402497823,0.46533337235450745,0.20907187731427168,seq,desc,False
sider,5,0.011047577485442162,0.00627664306280862,0.43444663286209106,0.3416031022942392,0.5545058250427246,0.3457625519791342,desc,desc,True
freesolv,5,0.010351861827075481,0.00640975282005922,0.2118493616580963,0.08729532273127566,0.7777987718582153,0.08382078998938805,desc,desc,True
