dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde
tox21,auc,fuse_gated_e2e,fuse_gated,5,0.8234961246812095,0.01672769515805169,0.8267946286729078,0.026125660304321813,-0.003298503991698265,0.021161894047878677,2,0.625,0.6875443366999996,-0.19350711493654296,inside noise,False
bbbp,auc,fuse_gated_e2e,fuse_gated,5,0.9476795345891975,0.02108645921305485,0.9538088675581056,0.023896170381140357,-0.006129332968908075,0.007291721104318005,1,0.125,0.0799474914038518,-1.0435604824175146,inside noise,False
clintox,auc,fuse_gated_e2e,fuse_gated,5,0.9771323927188199,0.03158136339126763,0.9847898020879724,0.018604826657372005,-0.007657409369152379,0.02523370965472533,3,0.8125,0.4469841316173121,-0.3767343526413889,inside noise,False
esol,rmse,fuse_gated_e2e,fuse_gated,5,0.9175432034973866,0.2206671035189087,0.8353333902404797,0.15987601481852493,-0.08220981325690686,0.2097779897612261,1,0.4375,0.3378064055563214,-0.48651720368587553,inside noise,False
lipophilicity,rmse,fuse_gated_e2e,fuse_gated,5,0.6927434071337066,0.033929866747035894,0.6962694688493387,0.021228201784810344,0.0035260617156321226,0.016319916572377476,3,0.8125,0.5809746415698518,0.26822943491936524,inside noise,False
bace,auc,fuse_gated_e2e,fuse_gated,5,0.8281725801792568,0.08360768819967766,0.8327650371667621,0.07632040922737773,-0.004592456987505345,0.03178204667740208,2,1.0,0.7088306601029274,-0.17938977943757298,inside noise,False
sider,auc,fuse_gated_e2e,fuse_gated,5,0.6399290309882423,0.05187522805583603,0.6219272002777266,0.03403469218353024,0.018001830710515643,0.05124128259775232,4,0.4375,0.3846584959855193,0.4361452440272191,inside noise,False
freesolv,rmse,fuse_gated_e2e,fuse_gated,5,1.3107628194308838,0.1762931810528573,1.10435890907558,0.3133145141693219,-0.20640391035530364,0.17950013467383424,0,0.0625,0.03315059576108187,-1.427537750204465,degrades,False
