group,band,n_band,coverage,coverage_pos
12 covering models,0.0-0.3,73.66666666666667,0.8813851480161793,0.5944137490190121
12 covering models,0.3-0.4,161.0,0.8831045143605146,0.7079156152158518
12 covering models,0.4-0.5,179.33333333333334,0.8951155086521455,0.741439052932066
12 covering models,0.5-0.7,255.16666666666663,0.900220490387726,0.8310905745815017
12 covering models,0.7-1.0,113.83333333333331,0.9239741485588874,0.7813911798720826
3 failing models,0.0-0.3,73.66666666666667,0.8959132212654252,0.07089620094006054
3 failing models,0.3-0.4,161.0,0.8962126155308331,0.08806520558874943
3 failing models,0.4-0.5,179.33333333333334,0.9043030035799345,0.1221813157428467
3 failing models,0.5-0.7,255.16666666666663,0.9051515794060793,0.145473914796491
3 failing models,0.7-1.0,113.83333333333331,0.9284229416782489,0.14736144128505232
