dataset,variant,tag,metric,n_cliff,n_other,cliff,other,penalty
tox21,seed0,desc,auc,44,739,0.7386500868384311,0.8483392034409095,0.10968911660247838
tox21,seed0,fuse_gated,auc,44,739,0.739313514256528,0.8395780383696843,0.10026452411315623
tox21,seed0,fuse_gated_nograph,auc,44,739,0.6563096145756132,0.8251708243236977,0.1688612097480845
tox21,seed1,desc,auc,35,748,0.6071739718614718,0.8340248199771039,0.22685084811563205
tox21,seed1,fuse_gated,auc,35,748,0.5229873995052566,0.8171493582656456,0.294161958760389
tox21,seed1,fuse_gated_nograph,auc,35,748,0.5300599103277676,0.8136224877425199,0.2835625774147523
tox21,seed2,desc,auc,38,745,0.7587842421059332,0.817719080524297,0.05893483841836378
tox21,seed2,fuse_gated,auc,38,745,0.7012921918767507,0.8072057183635183,0.10591352648676755
tox21,seed2,fuse_gated_nograph,auc,38,745,0.6479084702062643,0.7874510289789024,0.1395425587726381
tox21,seed3,desc,auc,22,761,0.6123599439775911,0.8189429476985527,0.2065830037209616
tox21,seed3,fuse_gated,auc,22,761,0.6335259103641457,0.8563362521570993,0.22281034179295356
tox21,seed3,fuse_gated_nograph,auc,22,761,0.611186974789916,0.8542127096444253,0.2430257348545093
tox21,seed4,desc,auc,29,754,0.8568840579710144,0.8445384284861849,-0.012345629484829534
tox21,seed4,fuse_gated,auc,29,754,0.8444755667038276,0.8410150851629847,-0.0034604815408428857
tox21,seed4,fuse_gated_nograph,auc,29,754,0.846776755852843,0.847246642126161,0.0004698862733180098
clintox,seed4,desc,auc,10,138,0.5,0.6649642011197243,0.16496420111972432
clintox,seed4,fuse_gated,auc,10,138,1.0,0.9970253956718347,-0.00297460432816532
clintox,seed4,fuse_gated_nograph,auc,10,138,1.0,0.9905351663436692,-0.009464833656330773
bace,seed0,desc,auc,11,141,0.5833333333333334,0.8227513227513228,0.23941798941798942
bace,seed0,fuse_gated,auc,11,141,0.5333333333333332,0.7881562881562881,0.2548229548229549
bace,seed0,fuse_gated_nograph,auc,11,141,0.5666666666666667,0.8015873015873016,0.23492063492063497
bace,seed2,desc,auc,10,142,0.5,0.9038299663299664,0.40382996632996637
bace,seed2,fuse_gated,auc,10,142,0.5833333333333334,0.8907828282828283,0.3074494949494949
bace,seed2,fuse_gated_nograph,auc,10,142,0.5,0.9278198653198654,0.4278198653198654
bace,seed4,desc,auc,17,135,0.42424242424242425,0.8074220465524813,0.38317962231005703
bace,seed4,fuse_gated,auc,17,135,0.48484848484848486,0.7944664031620554,0.30961791831357055
bace,seed4,fuse_gated_nograph,auc,17,135,0.40909090909090906,0.7905138339920948,0.3814229249011858
