dataset,metric,a,b,n_splits,mean_a,mean_b,mean_diff,ci_diff,a_wins,p_ttest,cohens_dz,decisive,clears_mde,p_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,desc+motif,desc,5,0.7602595005726653,0.7589537268534408,0.0013057737192244457,0.0021794705903809453,3,0.17161214038656505,0.7437917724569314,False,False,0.8580607019328252,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
bbbp,auc,desc+motif,desc,5,0.8801691528314812,0.8803003458602221,-0.00013119302874091686,0.0039394035874889466,2,0.9307868266060111,-0.04134421418939325,False,False,1.0,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
clintox,auc,desc+motif,desc,5,0.8547910639209437,0.8496868509386759,0.005104212982267686,0.006487647241230958,4,0.09431751625908169,0.9767333570730222,False,False,0.6602226138135718,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
esol,rmse,desc+motif,desc,5,0.9007443149555853,0.9032397529468479,0.0024954379912626836,0.02314240826882302,3,0.7795931549946566,0.13386674121702632,False,False,1.0,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
lipophilicity,rmse,desc+motif,desc,5,0.8774592377127781,0.8579176150242219,-0.019541622688556214,0.014367723155155042,0,0.01950890058921777,-1.6885235884780048,True,False,0.15607120471374217,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
bace,auc,desc+motif,desc,5,0.8458849497546529,0.8486977840661334,-0.0028128343114804276,0.011143647969913588,2,0.5221032760232792,-0.3133655327480127,False,False,1.0,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
sider,auc,desc+motif,desc,5,0.6141338427429652,0.6114855503756192,0.0026482923673458725,0.0037350307116011,4,0.1204038171535523,0.8802503598301421,False,False,0.7224229029213138,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
freesolv,rmse,desc+motif,desc,5,0.9998620958080732,1.0363965970068283,0.03653450119875521,0.07720566353104749,3,0.25924834100942706,0.5874737720617987,False,False,1.0,8,5,0.0019006058552435646,0.7265625,0.546875,0.4609375
