dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_bilinear_e2e,fuse_gated_e2e,5,0.8103928377783705,0.038690200030899714,0.8234961246812095,0.01672769515805169,-0.013103286902838972,0.039681413759691364,2,0.625,0.4111826856019811,-0.40994686836679894,inside noise,False,1.0,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
bace,auc,fuse_bilinear_e2e,fuse_gated_e2e,5,0.8414924019002605,0.07610614537967769,0.8281725801792568,0.08360768819967766,0.013319821721003766,0.036858583300610065,4,0.4375,0.3725375166997156,0.4486361169546021,inside noise,False,1.0,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
sider,auc,fuse_bilinear_e2e,fuse_gated_e2e,5,0.6296503458782075,0.01738682762833106,0.6399290309882423,0.05187522805583603,-0.010278685110034847,0.043965908970701774,2,0.8125,0.5517220069517659,-0.2902391308069936,inside noise,False,1.0,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
esol,rmse,fuse_bilinear_e2e,fuse_gated_e2e,5,0.8321352409450823,0.13270088728610283,0.9175432034973866,0.2206671035189087,0.0854079625523045,0.23174707850235535,4,0.4375,0.36411209930979627,0.4575289228470828,inside noise,False,1.0,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
lipophilicity,rmse,fuse_bilinear_e2e,fuse_gated_e2e,5,0.6990735504229545,0.02330829749364818,0.6927434071337066,0.033929866747035894,-0.006330143289247925,0.012801907980375381,1,0.3125,0.24179384692566047,-0.6138656033020636,inside noise,False,1.0,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
freesolv,rmse,fuse_bilinear_e2e,fuse_gated_e2e,5,0.998029345743652,0.26758451950324696,1.3107628194308838,0.1762931810528573,0.3127334736872319,0.23060480182058277,5,0.0625,0.01969529268003723,1.683606067299722,improves,False,0.11817175608022339,inside noise,6,3,0.0034948392158779206,1.0,0.4375,0.6875
