dataset,oof_auc,valid_auc,test_auc,oof_rmse,valid_rmse,test_rmse
tox21,0.778533892242549,0.7652923839174437,0.7539105808338546,,,
bbbp,0.9091516881380339,0.9899068322981366,0.7571056941901917,,,
clintox,0.9255675922065886,0.9841602808339398,0.9953159211761027,,,
esol,,,,1.2740197722849178,1.151803026481324,1.162738921753571
lipophilicity,,,,0.7268157561423301,0.747665061076779,0.749455908185738
