dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed_e2e,fuse_xattn_e2e,5,0.8174348087308392,0.01766228592714121,0.8059434028490988,0.02227477027040826,0.011491405881740269,0.010057142458102346,5,0.0625,0.03379657371685833,1.4185120262195539,improves,True,0.20277944230115,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
bbbp,auc,fuse_proposed_e2e,fuse_xattn_e2e,5,0.9500303489048318,0.02471063953348539,0.9523885449568438,0.020099950194529145,-0.0023581960520117295,0.011695588485106989,2,0.625,0.6055249276644239,-0.25031812008088133,inside noise,False,0.8872331126260491,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
clintox,auc,fuse_proposed_e2e,fuse_xattn_e2e,5,0.9842968720015624,0.01520023064072445,0.9672783347543735,0.04156438869986733,0.017018537247188804,0.04005808001172867,4,0.3125,0.30360516824450884,0.527432101966382,inside noise,False,0.8872331126260491,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
esol,rmse,fuse_proposed_e2e,fuse_xattn_e2e,5,0.8430447757127466,0.11731148186597522,0.9699141414370693,0.18011511483729845,0.12686936572432259,0.14878906073137213,5,0.0625,0.07706925134601281,1.0585715702023446,inside noise,False,0.38534625673006406,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
lipophilicity,rmse,fuse_proposed_e2e,fuse_xattn_e2e,5,0.695497711397756,0.00849112391605345,0.721513549962099,0.01879677107926158,0.026015838564343065,0.012676879790724373,5,0.0625,0.004690752939354765,2.5477682224916656,improves,True,0.032835270575483355,improves,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
bace,auc,fuse_proposed_e2e,fuse_xattn_e2e,5,0.8557550974361311,0.08167881653634275,0.840935878015652,0.07614098118753859,0.014819219420479101,0.019479295071396594,4,0.1875,0.10227217161459831,0.9444664859625668,inside noise,False,0.40908868645839325,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
sider,auc,fuse_proposed_e2e,fuse_xattn_e2e,5,0.6308654490273545,0.027785565169013062,0.5666633339210614,0.028023806530961655,0.06420211510629306,0.026712241093152046,5,0.0625,0.002622551286240852,2.9838258336874905,improves,False,0.020980410289926817,improves,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
freesolv,rmse,fuse_proposed_e2e,fuse_xattn_e2e,5,1.0017816717496506,0.236310153792271,1.07837806866554,0.1694316247263433,0.07659639691588913,0.17693534078673467,3,0.4375,0.2957443708753497,0.5374378061694141,inside noise,False,0.8872331126260491,inside noise,8,7,0.021517187905765935,0.0703125,0.015625,0.015625
