dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,lora,seq_frozen,5,0.7936163463459575,0.029633124507839066,0.7818023607264241,0.020992469947840993,0.01181398561953333,0.024321416160195657,4,0.3125,0.24881326133304574,0.603034332573393,inside noise,False,0.5577570460649471,inside noise,6,4,0.04329324332452574,0.6875,0.21875,0.21875
bace,auc,lora,seq_frozen,5,0.8125767998522686,0.06299517194917852,0.8295865945038985,0.04380059560842838,-0.01700979465163004,0.029602627916801315,1,0.1875,0.18591901535498237,-0.7133509827165662,inside noise,False,0.5577570460649471,inside noise,6,4,0.04329324332452574,0.6875,0.21875,0.21875
sider,auc,lora,seq_frozen,5,0.5807706552403691,0.04906919501560325,0.5826270152593722,0.04131924027204715,-0.0018563600190030672,0.022118903707295804,3,0.8125,0.8272134213618155,-0.10419168653944226,inside noise,False,0.8272134213618155,inside noise,6,4,0.04329324332452574,0.6875,0.21875,0.21875
esol,rmse,lora,seq_frozen,5,1.1144223023359405,0.18458848356154553,1.4319071956946714,0.2574325594070654,0.31748489335873087,0.09937925947494011,5,0.0625,0.0008929346437483833,3.9660827271069463,improves,False,0.0053576078624903,improves,6,4,0.04329324332452574,0.6875,0.21875,0.21875
lipophilicity,rmse,lora,seq_frozen,5,0.9457152832750229,0.135180507349171,1.020487784304541,0.12535324093262293,0.07477250102951816,0.07930561648875493,4,0.125,0.058964742160234486,1.1705027045626997,inside noise,False,0.23585896864093794,inside noise,6,4,0.04329324332452574,0.6875,0.21875,0.21875
freesolv,rmse,lora,seq_frozen,5,1.8349638965217683,0.20990732067580267,2.175500720030438,0.4670212080320587,0.34053682350867004,0.2712633029701902,5,0.0625,0.02523899960202293,1.5585024694206988,improves,False,0.12619499801011463,inside noise,6,4,0.04329324332452574,0.6875,0.21875,0.21875
