dataset,model,canonical_split_raw,canonical_split_canonical,seeded_mean_raw,seeded_mean_canonical,seeded_mean_change,p_paired_t
clintox,fuse_seqonly,0.9785145796406354,0.8150470927605742,0.9879849387642942,0.7947606129119758,-0.19322432585231858,0.002998840602152201
clintox,fuse_gated_nograph,0.9818875334514996,0.8257376707329789,0.9834916145930226,0.8395355908538992,-0.1439560237391234,0.06241310706057018
clintox,fuse_concat,0.9864968894449658,0.9241624092030724,0.9675310120480614,0.863254891568636,-0.10427612047942529,0.10555891783867884
clintox,fuse_gated,0.9789142598964308,0.756421819066486,0.9847898020879724,0.8512191278392149,-0.13357067424875727,0.011350271693672165
clintox,fuse_xattn,0.9899445660862616,0.8925954888263303,0.963529733687953,0.8369341026598788,-0.1265956310280741,0.015696173392112493
clintox,fuse_bilinear,0.9294477461509052,0.8113978382511382,0.9700863028106103,0.8197723143778444,-0.15031398843276592,0.021995499891731454
clintox,fuse_proposed,0.9869339311159768,0.8980415667466027,0.9679822212261631,0.8512187576206584,-0.11676346360550485,0.0066959166913292244
clintox,gin_ref (reads no SMILES characters),0.8699223230111562,0.8699223230111562,0.8965778252598264,0.8965778252598264,0.0,
clintox,desc (reads no SMILES characters),0.8672740068814514,0.8672740068814514,0.8410613269485883,0.8410613269485883,0.0,
bbbp,fuse_seqonly,0.7157722323923306,0.7252143751806532,0.9469962178733773,0.8712533300721628,-0.07574288780121445,0.0022523877192418946
bbbp,fuse_gated_nograph,0.733885730802582,0.7049812120628192,0.9514470847325672,0.9102530227061347,-0.04119406202643248,0.007060800172181425
bbbp,fuse_concat,0.6825320358416032,0.730128143366413,0.9442339365187532,0.893364047063395,-0.05086988945535813,0.023948617484550315
bbbp,fuse_gated,0.7185663358705077,0.7380287118219481,0.9538088675581056,0.894209796636072,-0.05959907092203367,0.013510110553265241
bbbp,fuse_xattn,0.7499759129010503,0.7349455631563733,0.9457287509821717,0.894999770861309,-0.05072898012086251,0.0043374118880325175
bbbp,fuse_bilinear,0.7618267655843529,0.7570093457943925,0.949641162360272,0.9022201976358989,-0.04742096472437292,0.007470842097707212
bbbp,fuse_proposed,0.7596107524809712,0.7385104538009443,0.9532296682694759,0.9070664464783118,-0.046163221791163965,0.0169403004350612
bbbp,gin_ref (reads no SMILES characters),0.7018980633972445,0.7018980633972445,0.9059341144896585,0.9059341144896585,0.0,
bbbp,desc (reads no SMILES characters),0.7150977936217362,0.7150977936217362,0.9070845452879752,0.9070845452879752,0.0,
