dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_bilinear_gpu,fuse_bilinear,5,0.8258620761439323,0.019137493867883545,0.8266716714922033,0.028732849035499483,-0.0008095953482710084,0.012522654826496822,2,0.8125,0.8662933979531962,-0.08026127488843778,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
bace,auc,fuse_bilinear_gpu,fuse_bilinear,5,0.8489750138429104,0.09623264925481453,0.8512888158051064,0.07663157084503029,-0.0023138019621958606,0.026002550828607238,2,0.8125,0.8170540173105607,-0.11047008563377346,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
sider,auc,fuse_bilinear_gpu,fuse_bilinear,5,0.6334535862648653,0.014449606292355702,0.6157610005261229,0.04903663273176994,0.017692585738742394,0.03594403281829054,4,0.3125,0.24357945267141015,0.611081261338516,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
esol,rmse,fuse_bilinear_gpu,fuse_bilinear,5,0.8284383994156073,0.15644278004916085,0.8268378121305553,0.1405919530033133,-0.0016005872850522352,0.052947108688715466,3,1.0,0.9371534594382752,-0.03752939582136052,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
lipophilicity,rmse,fuse_bilinear_gpu,fuse_bilinear,5,0.691146946613089,0.017371588750358553,0.6841293675150674,0.029803088428615936,-0.007017579098021698,0.017216103863151304,2,0.4375,0.3210664652103472,-0.5060423944288823,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
freesolv,rmse,fuse_bilinear_gpu,fuse_bilinear,5,0.9755650546331374,0.2844318873051625,1.037237820557251,0.3661015883082635,0.061672765924113436,0.2573408029941688,3,0.8125,0.5422695300502915,0.2975221023060018,inside noise,False,1.0,inside noise,6,2,-0.0012050913166616218,0.6875,1.0,1.0
