tag,dataset,n_splits,protocol,n_tasks,ece_raw,ece_raw_ci,ece_cal,ece_cal_ci,delta,delta_ci,helps,hurts
desc,tox21,5,valid-fit,12,0.0629897045539319,0.0144422263731274,0.0544681915891379,0.0147547323690321,-0.008521512964794,0.0032564742107783,True,False
desc,bbbp,5,valid-fit,1,0.0691335043202455,0.0294877841926026,0.0646449546795367,0.0273206092010666,-0.0044885496407087,0.0219323291141858,False,False
desc,clintox,5,valid-fit,2,0.1185350003988423,0.0871681721716163,0.0743894854196421,0.0166484210620261,-0.0441455149792001,0.0771001024251056,False,False
desc,bace,5,valid-fit,1,0.1235921459006905,0.0298453926328614,0.1153626410404511,0.0440318266843663,-0.0082295048602393,0.0379866721374771,False,False
desc,sider,5,valid-fit,27,0.141980502555918,0.0104248304771146,0.1311056398697897,0.0087429061439906,-0.0108748626861283,0.0117873712282082,False,False
fuse_gated,tox21,5,valid-fit,12,0.065034923310721,0.0063671666829037,0.0534017885438748,0.0107816166704156,-0.0116331347668461,0.0143675277996745,False,False
fuse_gated,bace,5,valid-fit,1,0.1678369485306932,0.0687811146180582,0.1057402631842354,0.0355801087650731,-0.0620966853464578,0.0596849611882751,True,False
fuse_gated,sider,5,valid-fit,27,0.1480554159540361,0.0141043272782453,0.1298056178174272,0.0116306319338727,-0.0182497981366089,0.0203318087945236,False,False
fuse_gated_nograph,tox21,5,valid-fit,12,0.0635569032816349,0.020474948615149,0.0471330217749746,0.0152884227544353,-0.0164238815066602,0.0173382926415502,False,False
fuse_gated_nograph,bace,5,valid-fit,1,0.1327680696515668,0.0316374483378818,0.1179374137802063,0.0677148567558822,-0.0148306558713604,0.0656281353959449,False,False
fuse_gated_nograph,sider,5,valid-fit,27,0.1490911007793098,0.0261117805285631,0.1412148675494992,0.0225734722567364,-0.0078762332298106,0.0120537578520587,False,False
fuse_proposed_gpu,tox21,5,valid-fit,12,0.0751210613656353,0.0193012085483632,0.0567545177537093,0.0136006058902241,-0.0183665436119259,0.0148160751108315,True,False
fuse_proposed_gpu,bace,5,valid-fit,1,0.1465581484720493,0.0672300953959896,0.1415526573720922,0.0517140551529285,-0.0050054910999571,0.0288428762130999,False,False
fuse_proposed_gpu,sider,5,valid-fit,27,0.1571825950763608,0.0122628229760233,0.1304625393543175,0.0067191243097338,-0.0267200557220432,0.0083892935464369,True,False
fuse_concat_gpu,tox21,5,valid-fit,12,0.066357588197241,0.023815769110933,0.0504443276384114,0.0109981731390541,-0.0159132605588295,0.0175781101500634,False,False
fuse_concat_gpu,bace,5,valid-fit,1,0.141761360521944,0.085091426673864,0.1252038192563174,0.049078197655305,-0.0165575412656265,0.0604494632151628,False,False
fuse_concat_gpu,sider,5,valid-fit,27,0.2144321911230792,0.0476414993874307,0.1926457384571004,0.0351525272176109,-0.0217864526659788,0.0157258377085432,True,False
fuse_xattn_gpu,tox21,5,valid-fit,12,0.0862250077256184,0.0281708535336531,0.0595925786372423,0.0238830653382959,-0.0266324290883761,0.0082169978071788,True,False
fuse_xattn_gpu,bace,5,valid-fit,1,0.13845334848552,0.0547911610087595,0.1143558278339627,0.047412606678884,-0.0240975206515572,0.0346724847115022,False,False
fuse_xattn_gpu,sider,5,valid-fit,27,0.2303657866184207,0.0295980411389,0.1887147104780385,0.0189660177742449,-0.0416510761403823,0.0202095151460776,True,False
fuse_bilinear_gpu,tox21,5,valid-fit,12,0.0710832950142279,0.01476654303707,0.0575688102406931,0.0089070511798153,-0.0135144847735348,0.0079728478733733,True,False
fuse_bilinear_gpu,bace,5,valid-fit,1,0.1394674177607512,0.101643537226933,0.1047579832647294,0.0641234199120172,-0.0347094344960219,0.0799377312372984,False,False
fuse_bilinear_gpu,sider,5,valid-fit,27,0.1672161739521323,0.0244082204293374,0.1339956070805893,0.0173046221430923,-0.0332205668715429,0.0277482235357049,True,False
gin_ref_gpu,tox21,5,valid-fit,12,0.0765172628573239,0.0283658039181184,0.0569619201827123,0.0146682443928345,-0.0195553426746115,0.0163779574831526,True,False
gin_ref_gpu,bbbp,5,valid-fit,1,0.0725977293212102,0.0335984071398241,0.0661984120755803,0.0384300263906011,-0.0063993172456298,0.010718407295277,False,False
gin_ref_gpu,clintox,5,valid-fit,2,0.0932405821094904,0.0892261904640755,0.0738818465962985,0.0485030682302018,-0.019358735513192,0.0421981573312445,False,False
gin_ref_gpu,bace,5,valid-fit,1,0.1357262916625694,0.0468406284981562,0.105974373534298,0.0253101508661185,-0.0297519181282713,0.0265707523528376,True,False
gin_ref_gpu,sider,5,valid-fit,27,0.1530519319292896,0.0119521314126274,0.1335319764085577,0.0103406183756622,-0.0195199555207319,0.0061096751960264,True,False
attentivefp,tox21,5,valid-fit,12,0.0779110230900032,0.0123393150070185,0.0680600596344908,0.0164954012846998,-0.0098509634555123,0.0066760514906486,True,False
attentivefp,bbbp,5,valid-fit,1,0.0897941249484556,0.0468296459468189,0.0743430671885796,0.0230715953341864,-0.0154510577598759,0.0377851885937511,False,False
