dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed_gpu,chemprop,5,0.8257677886095728,0.02461638802044395,0.8216486836165643,0.01661933400779612,0.004119104993008582,0.01927989918754651,3,0.8125,0.5850316376638129,0.26523605688071755,inside noise,False,1.0,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
bbbp,auc,fuse_proposed_gpu,chemprop,5,0.9480080642559059,0.03506838251323568,0.8915643421297954,0.0439232313263855,0.056443722126110464,0.04055684951382013,5,0.0625,0.018094627862650616,1.7277698589808719,improves,False,0.10856776717590369,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
clintox,auc,fuse_proposed_gpu,chemprop,5,0.9726361807945878,0.025828717812743304,0.8642461982684712,0.04355376027750578,0.10838998252611673,0.05599929528143279,5,0.0625,0.005795238454799828,2.4029295832600535,improves,False,0.040566669183598796,improves,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
esol,rmse,fuse_proposed_gpu,chemprop,5,0.8102289161038738,0.06440669819431777,0.7900953843881526,0.14969004651631493,-0.020133531715721208,0.12356404281899469,3,0.8125,0.6744823696779033,-0.2022843636021692,inside noise,False,1.0,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
lipophilicity,rmse,fuse_proposed_gpu,chemprop,5,0.6880641322171857,0.029689285139315704,0.6405898872837502,0.07661427792383768,-0.04747424493343544,0.04992006742497886,1,0.125,0.05758094630077212,-1.1806396451487484,inside noise,False,0.28790473150386064,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
bace,auc,fuse_proposed_gpu,chemprop,5,0.8553127613910443,0.08021442037108366,0.8403869596119222,0.07643447968367074,0.014925801779122061,0.02198937410989805,4,0.1875,0.13262453207716757,0.8426733536888111,inside noise,False,0.3978735962315027,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
sider,auc,fuse_proposed_gpu,chemprop,5,0.6243947427414167,0.022445382870422696,0.5984184459988915,0.009948382119211835,0.02597629674252504,0.030924836320047302,5,0.0625,0.08009496764140586,1.042807838072671,inside noise,False,0.32037987056562345,inside noise,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
freesolv,rmse,fuse_proposed_gpu,chemprop,5,1.0195306662541583,0.32227105297084707,1.6427392420703097,0.3207809056604213,0.6232085758161512,0.09756890447635756,5,0.0625,5.943361695909619e-05,7.929694424938462,improves,False,0.0004754689356727695,improves,8,6,0.02045104926082355,0.2890625,0.1953125,0.109375
