dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_gated,gin_ref,5,0.8267946286729078,0.026125660304321813,0.8106552202760795,0.03341955086339533,0.016139408396828103,0.0219738723051656,4,0.1875,0.1110797443877254,0.9118333544777226,inside noise,False,0.555398721938627,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
bbbp,auc,fuse_gated,gin_ref,5,0.894209796636072,0.04119427772091883,0.9059341144896585,0.038181398141619395,-0.011724317853586696,0.014778120329415419,1,0.125,0.09240949286569612,-0.98492428327716,inside noise,False,0.5544569571941768,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
clintox,auc,fuse_gated,gin_ref,5,0.8512191278392149,0.0891447457007102,0.8965778252598264,0.04496142095515809,-0.045358697420611424,0.08784512019855288,1,0.3125,0.22504083102107134,-0.6410285795583361,inside noise,False,0.9001633240842853,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
bace,auc,fuse_gated,gin_ref,5,0.8327650371667621,0.07632040922737773,0.83707872295955,0.05956373684876078,-0.004313685792787791,0.04933342314989662,3,0.8125,0.8201517106049434,-0.10855297153066967,inside noise,False,1.0,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
sider,auc,fuse_gated,gin_ref,5,0.6219272002777266,0.03403469218353024,0.6222433974449373,0.028056901838833567,-0.00031619716721069667,0.04035232081727953,2,1.0,0.9836872427346712,-0.00972800794648747,inside noise,False,1.0,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
esol,rmse,fuse_gated,gin_ref,5,0.8353333902404797,0.15987601481852493,1.125052355897687,0.3571826424538576,0.2897189656572073,0.29414087874161177,5,0.0625,0.052212829556945395,1.2228016050547643,inside noise,False,0.36548980689861776,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
lipophilicity,rmse,fuse_gated,gin_ref,5,0.6962694688493387,0.021228201784810344,0.7438659913595245,0.15906575309273838,0.047596522510185826,0.15273589422471245,3,0.625,0.4357951847754979,0.3868731336205271,inside noise,False,1.0,inside noise,8,4,0.007911605614808703,1.0,0.3828125,0.546875
freesolv,rmse,fuse_gated,gin_ref,5,1.10435890907558,0.3133145141693219,1.5258523429088533,0.3541527871608632,0.42149343383327303,0.1899558736082169,5,0.0625,0.003525493374162384,2.754688818364334,improves,False,0.028203946993299072,improves,8,4,0.007911605614808703,1.0,0.3828125,0.546875
