dataset,metric,desc,motif,desc_motif,motif_beats_desc,both_beats_desc
tox21,auc,0.6993147977059583,0.6136701622212356,0.6950393939142733,False,False
bbbp,auc,0.7076789671451972,0.6756431255419597,0.7127854321225552,False,True
clintox,auc,0.9248609807805929,0.7770109998957355,0.9259105758871164,False,True
esol,rmse,1.2201461785141332,2.520870387892571,1.1804401155746582,False,True
lipophilicity,rmse,0.9710637693302561,0.9798148528449224,0.961819275485535,False,True
bace,auc,0.7528985507246377,0.7666666666666667,0.7576086956521739,True,True
sider,auc,0.5783405052118619,0.5826361984157162,0.5784050623885837,True,True
freesolv,rmse,2.4968706019464593,4.986166335859862,2.4721734050147246,False,True
