dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,lora,gin_ref,5,0.7936163463459575,0.029633124507839066,0.8106552202760795,0.03341955086339533,-0.017038873930122156,0.010444994942259058,0,0.0625,0.010589633208878426,-2.0251962530513885,degrades,True,0.06353779925327055,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
bbbp,auc,lora,gin_ref,5,0.9470446536611149,0.02249587763649123,0.9059341144896585,0.038181398141619395,0.04111053917145635,0.03621093410277001,5,0.0625,0.0344605391631154,1.4094442564380356,improves,False,0.1378421566524616,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
clintox,auc,lora,gin_ref,5,0.9888160350740826,0.019490500312887155,0.8965778252598264,0.04496142095515809,0.09223820981425623,0.03765764992656414,5,0.0625,0.0024438646300763874,3.04082978991674,improves,False,0.0195509170406111,improves,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
esol,rmse,lora,gin_ref,5,1.1144223023359405,0.18458848356154553,1.125052355897687,0.3571826424538576,0.010630053561746445,0.2867044525674924,2,0.8125,0.9229762138849084,0.046029417055881115,inside noise,False,0.9229762138849084,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
lipophilicity,rmse,lora,gin_ref,5,0.9457152832750229,0.135180507349171,0.7438659913595245,0.15906575309273838,-0.20184929191549852,0.10866190706843219,0,0.0625,0.006713439844054279,-2.306133088044631,degrades,False,0.04699407890837995,degrades,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
bace,auc,lora,gin_ref,5,0.8125767998522686,0.06299517194917852,0.83707872295955,0.05956373684876078,-0.024501923107281366,0.035888827117541426,0,0.0625,0.13095860045850197,-0.847569591165139,inside noise,False,0.26191720091700393,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
sider,auc,lora,gin_ref,5,0.5807706552403691,0.04906919501560325,0.6222433974449373,0.028056901838833567,-0.04147274220456816,0.040014948964563604,0,0.0625,0.04514315304306916,-1.286693018256062,degrades,False,0.1378421566524616,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
freesolv,rmse,lora,gin_ref,5,1.8349638965217683,0.20990732067580267,1.5258523429088533,0.3541527871608632,-0.309111553612915,0.2347975595122283,0,0.0625,0.021683079905845584,-1.6343915903514232,degrades,False,0.10841539952922792,inside noise,8,3,-0.02077039851870176,0.7265625,0.3828125,0.546875
