dataset,tag,valid_auc,test_auc,params,trainable,best_epoch,mode,seq,views
clintox,fuse_xattn,0.8590380973193472,0.8359574308906594,3229958,3229958,5,xattn,cached,graph|seq|desc
bbbp,fuse_xattn,0.9361672666851287,0.9297399941571721,3229701,3229701,5,xattn,cached,graph|seq|desc
