dataset,tag,valid_auc,test_auc,params,trainable,best_epoch,mode,seq,views,gate_views
clintox,fuse_gated,0.8227116922429423,0.8161308121048891,2061191,2061191,15,gated,cached,graph|seq|desc,graph|seq|desc
bbbp,fuse_gated,0.92425920797563,0.9372626351153959,2060934,2060934,8,gated,cached,graph|seq|desc,graph|seq|desc
