dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_xattn_gpu,fuse_xattn,5,0.8248455777867341,0.019601040191799694,0.8145658331471844,0.02957570585809163,0.01027974463954957,0.01998951806637039,4,0.3125,0.22659116230542314,0.6384317286274498,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
bbbp,auc,fuse_xattn_gpu,fuse_xattn,5,0.938695704209926,0.03731639435287217,0.9457287509821717,0.024025563494286372,-0.0070330467722456765,0.014705334077615966,2,0.4375,0.2549895206047223,-0.5937492443783013,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
clintox,auc,fuse_xattn_gpu,fuse_xattn,5,0.9703596860580002,0.040156407967761654,0.963529733687953,0.0330148282729615,0.006829952370047155,0.023056786524926747,3,0.625,0.4570899249960746,0.3677505712985377,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
esol,rmse,fuse_xattn_gpu,fuse_xattn,5,0.8168700780344539,0.0759133100629627,0.8499180769428099,0.1047915606342805,0.03304799890835604,0.09975348044679846,3,0.4375,0.40978288988070827,0.41129323843870336,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
lipophilicity,rmse,fuse_xattn_gpu,fuse_xattn,5,0.6959997618548232,0.029673927011012804,0.7144902794444637,0.026987398028522742,0.018490517589640577,0.023405610448815863,5,0.0625,0.09337367348457841,0.9807618297620079,inside noise,False,0.6622129973988686,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
bace,auc,fuse_xattn_gpu,fuse_xattn,5,0.837436386884135,0.08289519752385319,0.8574898315197107,0.06990027924024626,-0.020053444635575724,0.024184896948203867,1,0.1875,0.08277662467485858,-1.0293882383221868,inside noise,False,0.6622129973988686,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
sider,auc,fuse_xattn_gpu,fuse_xattn,5,0.5780732623034692,0.027628962720145752,0.5916121707107791,0.03726632335352058,-0.013538908407309914,0.03554287314931178,1,0.4375,0.349948125669995,-0.47289593213067194,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
freesolv,rmse,fuse_xattn_gpu,fuse_xattn,5,0.9490842025630297,0.3411785581929279,0.9419168286633626,0.25162512586376057,-0.007167373899666906,0.14120732707569156,3,0.8125,0.8947570912040725,-0.06301403475669874,inside noise,False,1.0,inside noise,8,4,-0.00010154720109926095,1.0,0.9453125,1.0
