dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed,fuse_bilinear,5,0.8247876572055199,0.020905866482019586,0.8266716714922033,0.028732849035499483,-0.0018840142866833442,0.02396037131572221,2,1.0,0.8378963671343114,-0.09761692148439265,inside noise,False,1.0,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
bbbp,auc,fuse_proposed,fuse_bilinear,5,0.9070664464783118,0.04050672685786659,0.9022201976358989,0.04058427983547454,0.00484624884241267,0.011499807270533513,3,0.4375,0.3070060232120107,0.52317816222505,inside noise,False,1.0,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
clintox,auc,fuse_proposed,fuse_bilinear,5,0.8512187576206584,0.08754445241567664,0.8197723143778444,0.14854932637996054,0.03144644324281387,0.0894167656213536,3,0.4375,0.38420803385958674,0.43660332083370795,inside noise,False,1.0,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
bace,auc,fuse_proposed,fuse_bilinear,5,0.8572774157133676,0.07466501461232301,0.8512888158051064,0.07663157084503029,0.005988599908261283,0.00441164204640365,5,0.0625,0.01963345923845314,1.6852312028553968,improves,True,0.15706767390762513,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
sider,auc,fuse_proposed,fuse_bilinear,5,0.6380392922499557,0.011420894847931268,0.6157610005261229,0.04903663273176994,0.022278291723832888,0.0463846658602028,3,0.4375,0.2532990519162032,0.596268564405942,inside noise,False,1.0,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
esol,rmse,fuse_proposed,fuse_bilinear,5,0.7832222175275956,0.10196681569644125,0.8268378121305553,0.1405919530033133,0.043615594602959586,0.07095906439447287,3,0.3125,0.16314775688213878,0.7630770226075043,inside noise,False,0.9788865412928327,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
lipophilicity,rmse,fuse_proposed,fuse_bilinear,5,0.6886768940703656,0.03501206521459268,0.6841293675150674,0.029803088428615936,-0.004547526555298309,0.006475794915065269,1,0.1875,0.12304147680182077,-0.8717995027955648,inside noise,False,0.8612903376127454,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
freesolv,rmse,fuse_proposed,fuse_bilinear,5,0.9558884592539606,0.2687608173357254,1.037237820557251,0.3661015883082635,0.08134936130329037,0.24970684800956258,3,0.625,0.4169457268026787,0.40444377414785904,inside noise,False,1.0,inside noise,8,6,0.014133445816047085,0.2890625,0.0390625,0.1953125
