dataset,metric,a,b,n_splits,mean_a,ci_a,mean_b,ci_b,mean_diff,ci_diff,a_wins,p_wilcoxon,p_ttest,cohens_dz,verdict,below_mde,p_holm,verdict_holm,across_n_datasets,across_wins,across_median_diff,across_p_sign,across_p_wilcoxon_raw,across_p_wilcoxon_dz
tox21,auc,fuse_proposed,trf,5,0.8247876572055199,0.020905866482019586,0.7699019307790502,0.015148361989856961,0.054885726426469696,0.016403265682454513,5,0.0625,0.0007473476319793496,4.1539719251504925,improves,False,0.0029083465232486124,improves,5,4,0.06362907498387323,0.375,0.125,0.125
bbbp,auc,fuse_proposed,trf,5,0.9532296682694759,0.0291030540365971,0.8896005932856024,0.029192415427040614,0.06362907498387323,0.04051787663509947,5,0.0625,0.012067646667842997,1.9495904619832338,improves,False,0.024135293335685995,improves,5,4,0.06362907498387323,0.375,0.125,0.125
clintox,auc,fuse_proposed,trf,5,0.9679822212261631,0.028998687096922326,0.9845623067281508,0.015227704076717924,-0.016580085501987772,0.02125130267755903,1,0.14412703481601533,0.09626040612077251,-0.9685803822758027,inside noise,False,0.09626040612077251,inside noise,5,4,0.06362907498387323,0.375,0.125,0.125
esol,rmse,fuse_proposed,trf,5,0.7832222175275956,0.10196681569644125,1.4957258857656477,0.1997530303237939,0.7125036682380521,0.21142681027316376,5,0.0625,0.0007270866308121531,4.183709357320702,improves,False,0.0029083465232486124,improves,5,4,0.06362907498387323,0.375,0.125,0.125
lipophilicity,rmse,fuse_proposed,trf,5,0.6886768940703656,0.03501206521459268,1.0752965260096774,0.08374872406097163,0.38661963193931176,0.06206696855362024,5,0.0625,6.563847995585011e-05,7.733174823610636,improves,False,0.00032819239977925055,improves,5,4,0.06362907498387323,0.375,0.125,0.125
