dataset,oof_auc,valid_auc,test_auc,oof_rmse,valid_rmse,test_rmse
tox21,0.7892772234929027,0.8258326205017928,0.8366020231732901,,,
bbbp,0.9134803675436836,0.9282447112635792,0.9482151835093011,,,
clintox,0.9466723286889137,0.98294697373522,0.9809116809116809,,,
esol,,,,1.0877455954088238,1.1251296246225404,1.0144991852829643
lipophilicity,,,,0.7191759711127174,0.7213273588693092,0.7388383910266756
