dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.031224697332091867,0.03895033992955629,0.027473382084734415,0.033608590996919784
tox21,gnn,0.07201036542846768,0.060241694331079065,0.057279758543854586,0.05481348389926725
tox21,trf,0.03782502333520619,0.03212252743119293,0.029054186061293296,0.02756224078301657
tox21,hybrid,0.07494240746594265,0.07444681354405543,0.0822952066786767,0.07793044850305968
bbbp,rf,0.12017535899073033,0.1015996516044504,0.058162733985156555,0.04967961224114023
bbbp,gnn,0.11965597204386895,0.08896527795368814,0.08415219289500539,0.08872903323755034
bbbp,trf,0.0818501217611905,0.08535932114558854,0.07753491895954785,0.08170123972543857
bbbp,hybrid,0.0771087179043023,0.06814205206086484,0.08819691000915154,0.07913907650040418
clintox,rf,0.06735566701437976,0.06728927891802144,0.056429707722083944,0.05603139807243605
clintox,gnn,0.0585634503010157,0.06630795388608365,0.06158492130202216,0.06959555821644292
clintox,trf,0.03034526391609295,0.03448672572503219,0.0372314602136612,0.04495898030094199
clintox,hybrid,0.10339533255712406,0.04569570901426108,0.12891449094624136,0.06491788577389074
