dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.031316476835463715,0.03281500930367907,0.02876051173221718,0.02945246250070313
tox21,gnn,0.06602775780699562,0.07390140110566588,0.06802070281250323,0.07292499340157234
tox21,trf,0.04628178775000021,0.03907327149821844,0.03415091422153672,0.03010210583243401
tox21,hybrid,0.08821108364877994,0.09997365206093956,0.08970069424332333,0.10035661184224128
bbbp,rf,0.09631845898228913,0.07633816021416577,0.10199160634017572,0.08455009838429893
bbbp,gnn,0.09246077384854774,0.09468500749230972,0.06290460941268176,0.05550355416972464
bbbp,trf,0.1153688692106989,0.09077681021150111,0.14375167416363224,0.09452220666699293
bbbp,hybrid,0.0978318217939931,0.0945252870103996,0.09261583118903927,0.09026100024944399
clintox,rf,0.06310205826082746,0.07109125139745508,0.0612641160149832,0.06508525118634509
clintox,gnn,0.0543870615798074,0.06902078941867157,0.04436336981283651,0.06300304749527494
clintox,trf,0.0459262056125177,0.04290668102535042,0.03664165513741004,0.031148889177554366
clintox,hybrid,0.11369460458691057,0.06572791591689393,0.08691268696172819,0.04292173643369933
