dataset,oof_auc,valid_auc,test_auc,oof_rmse,valid_rmse,test_rmse
tox21,0.8041734286254321,0.7920395123101213,0.8224614516863021,,,
bbbp,0.9217352379117085,0.8592132505175983,0.9245714285714286,,,
clintox,0.9429001088229436,0.9585557839168648,0.9807971014492753,,,
esol,,,,1.013606916986565,1.6979820811072954,1.0182365836479919
lipophilicity,,,,0.7283734596251952,0.6839461821162781,0.694265609682075
