dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.028482439534218886,0.03677695862641433,0.02550265330122775,0.03184302774710827
tox21,gnn,0.061813874126101974,0.0749830261205451,0.05403057568221863,0.06695577518537439
tox21,trf,0.034115212526697476,0.030833954132411166,0.029182261918365104,0.02664261053151575
tox21,hybrid,0.08423344343382626,0.07379094672543317,0.08332638587166524,0.07201235333729923
bbbp,rf,0.09422586557313141,0.08290351729087644,0.1078867868679326,0.0912195045773576
bbbp,gnn,0.08495969255569534,0.06514012314415918,0.05670942736835015,0.07333747817248834
bbbp,trf,0.18351173165983753,0.16591666690234483,0.38947396685437463,0.37218037436648127
bbbp,hybrid,0.12736483424755152,0.13376029753332655,0.21766764448910228,0.22451991046347264
clintox,rf,0.05194121599197389,0.050998552626854675,0.06957716333705027,0.06893060940342981
clintox,gnn,0.09963214457840533,0.08284613329011041,0.0866541955116633,0.07962859643472209
clintox,trf,0.03156623123465358,0.053680390320919674,0.011429890386156133,0.0363833799555495
clintox,hybrid,0.08656470094983643,0.05204021870284467,0.07561531260206894,0.06327174966399735
