dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.029073045500342773,0.03472707223551233,0.030931357604876517,0.03525367469353532
tox21,gnn,0.04147757560348026,0.05571895908498142,0.04981560779801364,0.052313209423018654
tox21,trf,0.03447953052201807,0.03849613828177108,0.03150309652733082,0.03665593681515427
tox21,hybrid,0.11028642739975326,0.10378076100927341,0.11171600137872356,0.1023947265246304
bbbp,rf,0.07073331789430141,0.05626040109859897,0.0976503241352919,0.09879165015569547
bbbp,gnn,0.07823392675427968,0.06551597065526278,0.1338091015815735,0.07354087131779372
bbbp,trf,0.07972040992652255,0.07266731685018306,0.06163681600151992,0.05174707465055512
bbbp,hybrid,0.09382986258990661,0.0810501701726115,0.09124986020530146,0.09053421340337617
clintox,rf,0.07081037457730321,0.06486472487449646,0.07727298281482747,0.06945605012210643
clintox,gnn,0.0491654508419939,0.0453194969811955,0.028899688172984772,0.040353860806774444
clintox,trf,0.029836641775595182,0.030728177847089005,0.026676096424863148,0.025411211356923386
clintox,hybrid,0.08806165327896942,0.08994775829282967,0.08033828256098001,0.0712164296088992
