dataset,oof_auc,valid_auc,test_auc,oof_rmse,valid_rmse,test_rmse
tox21,0.7867880616233274,0.8335389901969861,0.835356442503977,,,
bbbp,0.9167874935722896,0.9361702127659574,0.909880834160874,,,
clintox,0.9616666011478889,0.946965579710145,0.9735507246376811,,,
esol,,,,0.9365162963935362,1.018824182694741,1.029535774177808
lipophilicity,,,,0.8005168305459971,0.8463453300416053,0.7886702425941113
