dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.032012430313925665,0.03251879993125346,0.02685145565971939,0.028240116135053592
tox21,gnn,0.06815239558106884,0.06618190575482351,0.0808781584538719,0.07041718598660983
tox21,trf,0.05183518410095448,0.04445244134409793,0.04010442985629631,0.035923913256074254
tox21,hybrid,0.10017184013542985,0.08716983643191462,0.09018472436725983,0.08012205608197974
bbbp,rf,0.09623801678859542,0.08923939736605865,0.07195490191622479,0.054393767729038145
bbbp,gnn,0.1559956898830207,0.11159623373905427,0.1397220056231429,0.09164494421423938
bbbp,trf,0.08582874178299175,0.08955757018967803,0.07401600000334949,0.0768668195096458
bbbp,hybrid,0.09994740850232506,0.10087375834657637,0.06602996820356788,0.05370083116903537
clintox,rf,0.05280196384803669,0.05302837188984896,0.0584631761586344,0.048186736936504784
clintox,gnn,0.15122538905691457,0.18771574505277583,0.1186840626839045,0.15469658113009221
clintox,trf,0.026341539782446785,0.02488401793950313,0.003474633033211165,0.007762509020599161
clintox,hybrid,0.10639722886923197,0.10703526618512904,0.08195997653780758,0.07263467138683474
